
,,Salary,Salary,Salary,Salary,Salary,Salary,,
Player,Age,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
LeBron James,31,$22971000,$24004000,,,,,Cap Space,$22971000
Kevin Love,27,$19500000,$21500000,$22500000,$24000000,$25500000,,Bird Rights,$113000000
Kyrie Irving,23,$14746000,$15851950,$16957900,$18063850,$19169800,,Early Bird Rights,$65619700
Tristan Thompson,25,$14260870,$15330435,$16400000,$17469565,$18539130,,Bird Rights,$82000000
Iman Shumpert,25,$9000000,$9700000,$10300000,$11000000,,,Bird Rights,$40000000
Channing Frye,32,$7807579,$7456238,,,,,Cap Space,$15263817
J.R. Smith,30,$5000000,$5000000,,,,,Minimum Salary,$5000000
Timofey Mozgov,29,$4950000,,,,,,Bird Rights,$4950000
Mo Williams,33,$2100000,$2200000,,,,,Mini MLE,$2100000
James Jones,35,$1499000,,,,,,Minimum Salary,$1499000
Richard Jefferson,35,$1499000,,,,,,Minimum Salary,$1499000
Sasha Kaun,30,$1300000,$1300000,,,,,,$2600000
Matthew Dellavedova,25,$1147280,,,,,,,$1147280
Jordan McRae,24,$142084,$874636,,,,,Minimum Salary,$142084
Jordan McRae,24,$30888,,,,,,,$30888
Team Totals,,$105953701,$103217259,$66157900,$70533415,$63208930,,,$357822769
