
Rk,Player,Tm,2015-16,Guaranteed
1,Kobe Bryant,LAL,$25000000,$25000000
2,Joe Johnson,BRK,$24894863,$25309344
3,LeBron James,CLE,$22971000,$22971000
4,Carmelo Anthony,NYK,$22875000,$73678140
5,Dwight Howard,HOU,$22359364,$22359364
6,Chris Bosh,MIA,$22192730,$98060900
7,Chris Paul,LAC,$21468696,$44337524
8,Kevin Durant,OKC,$20158622,$20158622
9,Derrick Rose,CHI,$20093063,$41416313
10,Dwyane Wade,MIA,$20000000,$20000000
11,Brook Lopez,BRK,$20000000,$63000000
12,Marc Gasol,MEM,$19700000,$87600000
13,DeAndre Jordan,LAC,$19500000,$63500000
14,LaMarcus Aldridge,SAS,$19500000,$61500000
15,Kevin Love,CLE,$19500000,$113000000
16,Paul Millsap,ATL,$19000000,$39000000
17,Blake Griffin,LAC,$18907725,$60422513
18,Paul George,IND,$17120106,$54943596
19,Russell Westbrook,OKC,$16744218,$34513592
20,Kawhi Leonard,SAS,$16500000,$73000000
21,Greg Monroe,MIL,$16400000,$33500000
22,Enes Kanter,OKC,$16400000,$51400000
23,Wesley Matthews,DAL,$16400000,$70000000
24,Tobias Harris,DET,$16000000,$64000000
25,John Wall,WAS,$15851950,$70043500
26,James Harden,HOU,$15756438,$41446282
27,Eric Gordon,NOP,$15514031,$15514031
28,Klay Thompson,GSW,$15500000,$68975500
29,Roy Hibbert,LAL,$15500000,$15500000
30,David Lee,BOS,$15493680,$15493680
