
,,Salary,Salary,Salary,Salary,Salary,Salary
Rk,Team,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
1,Cleveland Cavaliers,$105953701,$103217259,$66157900,$70533415,$63208930,
2,Los Angeles Clippers,$95585714,$83949072,$74976238,$24950000,,
3,Oklahoma City Thunder,$94622660,$69610963,$28777261,$29106621,$5000000,
4,Golden State Warriors,$93707197,$80023544,$35459340,$38714581,$18500000,
5,Houston Rockets,$90188412,$71242899,$46894991,$7760095,,
6,San Antonio Spurs,$87365099,$84583607,$75104830,$52500000,$21000000,
7,Miami Heat,$85796360,$48881586,$52030351,$48396646,$19220000,
8,Chicago Bulls,$85385898,$74201034,$27456314,$21184346,$19840000,
9,Washington Wizards,$84237317,$50268952,$41769499,$44773648,,
10,New Orleans Pelicans,$84096237,$71967511,$46268677,$40300000,$39000000,$27000000
11,Brooklyn Nets,$83830033,$56662720,$43098560,$24013683,$5500000,
12,Memphis Grizzlies,$82666755,$61959704,$32351657,$26616222,$25600000,
13,Charlotte Hornets,$77609865,$48905399,$40868775,$35627842,$13000000,
14,Boston Celtics,$77162162,$51161569,$33852391,$14010178,$8000000,
15,New York Knicks,$75311181,$69779528,$50561200,$55014508,,
16,Dallas Mavericks,$74040317,$61315955,$29212946,$25116048,,
17,Detroit Pistons,$74021774,$69150393,$53464609,$46340402,$23400000,
18,Denver Nuggets,$72544578,$61725530,$61836662,$32308525,,
19,Los Angeles Lakers,$72415125,$26101518,$24639909,$9292089,,
20,Minnesota Timberwolves,$72330256,$68933517,$51310623,$25430613,,
21,Toronto Raptors,$71934665,$82724898,$68679151,$53076224,$17617977,
22,Sacramento Kings,$71840771,$65768345,$49585090,$13696875,,
23,Atlanta Hawks,$71453126,$55537594,$22000000,,,
24,Milwaukee Bucks,$71298026,$60829049,$55908139,$29571565,$27670000,$2170000
25,Indiana Pacers,$71286088,$59242253,$53132553,$38063668,,
26,Phoenix Suns,$69619149,$64221231,$48564336,$47140454,$16000000,
27,Philadelphia 76ers,$66093888,$33377246,$20043265,$9219060,,
28,Utah Jazz,$64783884,$60906285,$53086198,$14650764,,
29,Orlando Magic,$63349656,$44908271,$32526440,$17917231,,
30,Portland Trail Blazers,$61000674,$56784823,$52534725,$31500000,$25500000,$27000000
