,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16 &lt;3,3P,2P,0-3,10-Mar,16-Oct,16 &lt;3,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Atlanta Hawks,72,17405,0.461,12.6,0.666,0.327,0.121,0.079,0.139,0.334,0.515,0.622,0.384,0.44,0.422,0.352,0.585,0.036,191,0.294,1032,0.887,0.246,0.362,10,1
2,Boston Celtics,72,17380,0.44,12.4,0.705,0.316,0.14,0.094,0.155,0.295,0.485,0.624,0.351,0.388,0.379,0.335,0.547,0.025,150,0.288,1103,0.86,0.23,0.336,9,0
3,Brooklyn Nets,70,16875,0.457,11.6,0.787,0.273,0.219,0.108,0.187,0.213,0.484,0.607,0.435,0.413,0.403,0.356,0.527,0.03,155,0.255,850,0.84,0.309,0.384,12,0
4,Chicago Bulls,70,17025,0.441,12.1,0.762,0.288,0.167,0.118,0.189,0.238,0.462,0.574,0.385,0.402,0.397,0.372,0.514,0.038,212,0.261,832,0.883,0.216,0.391,13,1
5,Charlotte Hornets,71,17215,0.437,13.7,0.653,0.276,0.124,0.093,0.16,0.347,0.478,0.595,0.397,0.381,0.396,0.358,0.47,0.028,146,0.25,838,0.843,0.173,0.402,6,0
6,Cleveland Cavaliers*,71,17165,0.461,13.2,0.654,0.281,0.153,0.094,0.127,0.346,0.515,0.662,0.383,0.391,0.441,0.359,0.482,0.058,314,0.228,801,0.857,0.253,0.382,5,1
7,Dallas Mavericks,71,17365,0.446,13.5,0.667,0.25,0.149,0.11,0.159,0.333,0.497,0.65,0.377,0.435,0.412,0.344,0.502,0.033,188,0.22,778,0.857,0.216,0.389,17,0
8,Denver Nuggets,72,17430,0.442,11.7,0.727,0.342,0.157,0.08,0.148,0.273,0.481,0.587,0.386,0.38,0.39,0.34,0.538,0.056,315,0.287,920,0.801,0.208,0.333,15,1
