Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Draymond Green,25,69,69,2377,335,697,0.481,81,214,0.379,254,483,0.526,0.539,195,284,0.687,116,544,660,510,100,91,219,206,946
2,Stephen Curry,27,67,67,2268,682,1346,0.507,339,747,0.454,343,599,0.573,0.633,313,346,0.905,61,300,361,439,138,14,217,134,2016
3,Klay Thompson,25,68,68,2240,548,1168,0.469,230,542,0.424,318,626,0.508,0.568,171,197,0.868,28,234,262,140,52,40,121,131,1497
4,Harrison Barnes,23,54,47,1631,231,504,0.458,60,161,0.373,171,343,0.499,0.518,88,114,0.772,65,188,253,100,38,10,47,113,610
5,Andre Iguodala,32,60,1,1608,168,347,0.484,52,146,0.356,116,201,0.577,0.559,50,81,0.617,49,195,244,206,69,18,72,97,438
6,Shaun Livingston,30,67,3,1282,169,321,0.526,2,12,0.167,167,309,0.54,0.53,65,74,0.878,37,99,136,196,51,22,60,115,405
7,Andrew Bogut,31,60,56,1250,154,248,0.621,1,1,1,153,247,0.619,0.623,24,50,0.48,105,321,426,138,30,103,69,188,333
8,Brandon Rush,30,61,25,931,103,235,0.438,58,138,0.42,45,97,0.464,0.562,18,28,0.643,19,136,155,50,20,18,27,46,282
9,Leandro Barbosa,33,57,0,885,147,316,0.465,31,93,0.333,116,223,0.52,0.514,48,58,0.828,21,69,90,76,36,8,44,90,373
10,Festus Ezeli,26,40,11,710,117,210,0.557,0,0,,117,210,0.557,0.557,66,124,0.532,83,151,234,31,17,49,36,92,300
11,Marreese Speights,28,60,0,692,165,384,0.43,18,45,0.4,147,339,0.434,0.453,79,96,0.823,65,134,199,52,14,25,54,97,427
12,Ian Clark,24,57,1,506,83,186,0.446,28,75,0.373,55,111,0.495,0.522,26,31,0.839,13,49,62,60,14,11,40,52,220
13,James Michael McAdoo,23,35,1,236,40,74,0.541,1,1,1,39,73,0.534,0.547,25,45,0.556,30,26,56,16,9,5,15,32,106
14,Jason Thompson,29,28,1,179,20,42,0.476,0,0,,20,42,0.476,0.476,20,32,0.625,10,44,54,19,4,8,7,40,60
15,Anderson Varejao,33,15,0,134,19,37,0.514,0,0,,19,37,0.514,0.514,9,17,0.529,8,25,33,12,3,3,6,27,47
16,Kevon Looney,19,5,0,21,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,,4,6,10,0,0,0,1,2,9
