,State,Abbreviation
0,ALABAMA,AL
1,ALASKA,AK
2,ARIZONA,AZ
3,ARKANSAS,AR
4,CALIFORNIA,CA
5,COLORADO,CO
6,CONNECTICUT,CT
7,DELAWARE,DE
8,DISTRICT OF COLUMBIA,DC
9,FLORIDA,FL
10,GEORGIA,GA
11,HAWAII,HI
12,IDAHO,ID
13,ILLINOIS,IL
14,INDIANA,IN
15,IOWA,IA
16,KANSAS,KS
17,KENTUCKY,KY
18,LOUISIANA,LA
19,MAINE,ME
20,MONTANA,MT
21,NEBRASKA,NE
22,NEVADA,NV
23,NEW HAMPSHIRE,NH
24,NEW JERSEY,NJ
25,NEW MEXICO,NM
26,NEW YORK,NY
27,NORTH CAROLINA,NC
28,NORTH DAKOTA,ND
29,OHIO,OH
30,OKLAHOMA,OK
31,OREGON,OR
32,MARYLAND,MD
33,MASSACHUSETTS,MA
34,MICHIGAN,MI
35,MINNESOTA,MN
36,MISSISSIPPI,MS
37,MISSOURI,MO
38,PENNSYLVANIA,PA
39,RHODE ISLAND,RI
40,SOUTH CAROLINA,SC
41,SOUTH DAKOTA,SD
42,TENNESSEE,TN
43,TEXAS,TX
44,UTAH,UT
45,VERMONT,VT
46,VIRGINIA,VA
47,WASHINGTON,WA
48,WEST VIRGINIA,WV
49,WISCONSIN,WI
50,WYOMING,WY
