Rk,Gcar,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,Pos
1,737,1,1-Apr,TOR,MIN,W13-3,CG,5,4,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.75,0.8,1.5,2.3,3,0.34,0.025,1.76,RF
2,738,2,2-Apr,TOR,MIN,W6-1,CG,5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.429,0.6,0.857,1.457,3,0.7,0.025,-0.26,RF
3,739,3,3-Apr,TOR,MIN,L3-4,CG,5,4,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.455,0.6,1,1.6,3,3.09,0.081,0.81,RF
4,740,7 (3),8-Apr,TOR,LAA,W3-2,CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.4,0.526,0.8,1.326,3,0.58,0.004,-0.03,RF
5,741,8,9-Apr,TOR,LAA,L5-6,CG(14),7,4,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0.421,0.577,0.737,1.314,3,2.15,0.177,1.05,RF
6,742,9,10-Apr,TOR,LAA,L1-3,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.364,0.533,0.636,1.17,3,2.09,-0.242,-1.64,RF
7,743,10,11-Apr,TOR,SEA,L7-8,CG,5,3,1,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0.4,0.571,0.64,1.211,3,0.59,0.079,1.35,RF
8,744,11,12-Apr,TOR,SEA,L2-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.379,0.538,0.586,1.125,3,1.51,-0.198,-0.54,RF
9,745,12,13-Apr,TOR,SEA,W8-3,CG,5,5,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0.353,0.5,0.618,1.118,3,1.67,0.321,1.01,RF
10,746,13,15-Apr,TOR,BOS,W7-6,CG,5,3,1,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0.351,0.51,0.595,1.105,3,1.42,0.17,1.79,RF
11,747,14,16-Apr,TOR,BOS,L1-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317,0.472,0.537,1.008,3,0.68,-0.07,-0.77,RF
12,748,15,17-Apr,TOR,BOS,L1-8,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.311,0.456,0.533,0.989,3,0.64,-0.035,-0.65,RF
13,749,16,18-Apr,TOR,BOS,L1-9,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0.443,0.51,0.953,3,0.34,-0.013,-0.47,RF
14,750,17,19-Apr,TOR,NYY,W6-5,CG(10),5,3,3,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0.308,0.455,0.558,1.012,3,1.3,0.183,1.26,RF
15,751,18,20-Apr,TOR,NYY,L2-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.304,0.443,0.536,0.979,3,0.58,-0.041,-0.46,RF
16,752,19,22-Apr,TOR,TBR,W6-4,CG(11),5,3,4,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0.339,0.48,0.661,1.141,3,1.38,0.435,2.92,RF
