
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
BAL,48,27.9,4.40,162,6007,5485,713,1370,246,20,217,686,44,25,418,1331,.250,.307,.421,.728,96,2307,127,51,20,32,23,990
BOS,51,28.3,4.62,162,6237,5640,748,1495,294,33,161,706,71,27,478,1148,.265,.325,.415,.740,98,2338,127,46,30,42,28,1142
CHW,40,28.2,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,.250,.306,.380,.686,91,2103,125,65,30,37,22,1065
CLE,49,27.9,4.16,161,6109,5439,669,1395,303,29,141,640,86,28,533,1157,.256,.325,.401,.725,94,2179,134,39,47,50,34,1147
DET,47,28.3,4.28,161,6159,5605,689,1515,289,49,151,660,83,51,455,1259,.270,.328,.420,.748,106,2355,152,41,23,35,36,1111
HOU,46,26.6,4.50,162,6073,5459,729,1363,278,26,230,691,121,48,486,1392,.250,.315,.437,.752,105,2383,102,56,28,43,22,1036
KCR,45,29.2,4.47,162,6116,5575,724,1497,300,42,139,689,104,34,383,973,.269,.322,.412,.734,98,2298,133,77,34,47,28,1079
LAA,51,28.7,4.08,162,5990,5417,661,1331,243,21,176,621,52,34,435,1150,.246,.307,.396,.702,97,2144,116,58,37,40,34,1013
MIN,44,28.3,4.30,162,6017,5467,696,1349,277,44,156,661,70,38,439,1264,.247,.305,.399,.704,90,2182,133,40,30,41,31,993
NYY,56,31.1,4.72,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,.251,.323,.421,.744,105,2343,105,63,24,54,23,1151
OAK,52,27.9,4.28,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,.251,.312,.395,.707,94,2212,124,40,14,38,21,1102
SEA,51,28.6,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,.249,.311,.411,.722,102,2279,123,36,38,35,31,1080
TBR,51,28.4,3.98,162,6071,5485,644,1383,278,32,167,612,87,45,436,1310,.252,.314,.406,.720,99,2226,121,84,19,47,22,1075
TEX,57,28.6,4.64,162,6187,5511,751,1419,279,32,172,707,101,39,503,1233,.257,.325,.413,.739,98,2278,99,76,43,54,32,1130
TOR,52,29.4,5.50,162,6232,5509,891,1480,308,17,232,852,88,23,570,1151,.269,.340,.457,.797,118,2518,140,54,36,62,12,1057
LgAvg,47,28.5,4.39,162,6123,5522,710,1411,278,31,176,676,79,36,470,1219,.255,.318,.412,.730,99,2276,124,55,30,44,27,1078
,708,28.5,4.39,2428,91838,82836,10651,21159,4166,459,2634,10142,1185,533,7047,18281,.255,.318,.412,.730,99,34145,1861,826,453,657,399,16171
