
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,45,26.5,4.44,162,6269,5565,720,1408,307,45,173,686,102,40,571,1298,.253,.324,.418,.742,91,2324,93,37,54,41,47,1173
ATL,45,28.8,4.54,162,6335,5539,735,1459,300,20,149,700,58,26,602,1064,.263,.339,.405,.744,97,2246,142,52,95,47,54,1223
CHC,45,29.9,4.39,161,6244,5486,707,1398,293,29,161,678,56,34,592,1185,.255,.332,.407,.738,89,2232,134,59,65,42,44,1209
CIN,46,27.9,4.15,162,6187,5462,673,1349,280,25,158,637,96,40,531,1129,.247,.318,.394,.712,87,2153,103,53,100,41,37,1131
COL,45,27.8,4.96,162,6241,5398,804,1408,300,50,190,760,106,55,660,1277,.261,.343,.441,.784,96,2378,111,47,76,60,40,1147
FLA,44,27.0,4.77,162,6312,5572,772,1493,296,25,159,727,75,35,568,1226,.268,.340,.416,.756,97,2316,110,63,70,39,46,1214
HOU,42,31.6,3.97,162,6040,5436,643,1415,270,32,142,616,113,44,448,990,.260,.319,.400,.719,91,2175,153,43,66,45,37,1080
LAD,47,29.7,4.81,162,6385,5592,780,1511,278,39,145,739,116,48,607,1068,.270,.346,.412,.758,104,2302,141,63,78,44,76,1224
MIL,45,29.3,4.85,162,6296,5510,785,1447,281,37,182,757,68,37,610,1231,.263,.341,.426,.767,103,2348,128,71,58,47,44,1203
NYM,53,29.5,4.14,162,6159,5453,671,1472,295,49,95,631,122,44,526,928,.270,.335,.394,.729,95,2150,144,36,88,55,49,1183
PHI,41,31.3,5.06,162,6338,5578,820,1439,312,35,224,788,119,28,589,1155,.258,.334,.447,.781,104,2493,90,71,55,45,47,1192
PIT,49,27.0,3.95,161,6058,5417,636,1364,289,34,125,612,90,32,499,1142,.252,.318,.387,.705,87,2096,124,46,60,36,44,1124
SDP,56,28.0,3.94,162,6179,5425,638,1315,265,31,141,605,82,29,586,1182,.242,.321,.381,.701,93,2065,131,57,74,36,52,1168
SFG,44,29.0,4.06,162,6057,5493,657,1411,275,43,122,612,78,28,392,1158,.257,.309,.389,.699,82,2138,115,50,67,55,41,1080
STL,42,28.5,4.51,162,6168,5465,730,1436,294,29,160,694,75,31,528,1041,.263,.332,.415,.747,98,2268,127,61,68,43,73,1152
WSN,55,28.4,4.38,162,6273,5493,710,1416,271,38,156,685,73,40,617,1208,.258,.337,.406,.743,96,2231,133,56,64,42,39,1223
LgAvg,44,28.7,4.43,162,6221,5493,718,1421,288,35,155,683,89,37,558,1143,.259,.331,.409,.739,94,2245,124,54,71,45,48,1170
,710,28.7,4.43,2590,99541,87884,11481,22741,4606,561,2482,10927,1429,591,8926,18282,.259,.331,.409,.739,94,35915,1979,865,1138,718,770,18726
