
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,27,27.1,4.40,79,83,.488,4.04,162,162,161,1,12,1,44,1466.2,1450,713,659,182,500,45,1215,48,3,51,6257,101,4.21,1.330,8.9,1.1,3.1,7.5,2.43,1144
ATL,37,26.6,4.69,67,95,.414,4.41,162,162,159,3,10,2,44,1425.1,1462,760,698,170,550,45,1148,53,9,53,6156,86,4.34,1.412,9.2,1.1,3.5,7.2,2.09,1120
CHC,29,29.3,3.75,97,65,.599,3.36,162,162,156,6,21,4,48,1461.1,1276,608,546,134,407,38,1431,46,3,66,5997,117,3.30,1.152,7.9,0.8,2.5,8.8,3.52,1005
CIN,28,27.3,4.65,64,98,.395,4.33,162,162,160,2,8,1,35,1453.1,1436,754,700,177,544,42,1252,58,11,54,6271,92,4.24,1.362,8.9,1.1,3.4,7.8,2.30,1157
COL,30,28.7,5.21,68,94,.420,5.04,162,162,158,4,4,1,36,1426.1,1579,844,799,183,579,42,1112,48,6,66,6308,93,4.56,1.513,10.0,1.2,3.7,7.0,1.92,1185
LAD,31,28.1,3.67,92,70,.568,3.44,162,162,156,6,21,3,47,1445.2,1317,595,553,145,395,32,1396,38,10,52,5932,108,3.41,1.184,8.2,0.9,2.5,8.7,3.53,1000
MIA,29,27.3,4.19,71,91,.438,4.02,162,162,162,0,12,0,35,1427.0,1374,678,638,141,508,25,1152,52,3,53,6050,97,3.98,1.319,8.7,0.9,3.2,7.3,2.27,1091
MIL,26,28.4,4.55,68,94,.420,4.28,162,162,161,1,7,0,40,1435.0,1432,737,682,176,517,36,1260,55,5,71,6148,93,4.17,1.358,9.0,1.1,3.2,7.9,2.44,1106
NYM,26,28.2,3.78,90,72,.556,3.43,162,162,161,1,14,1,50,1462.2,1341,613,557,152,383,43,1337,44,2,46,6046,107,3.53,1.179,8.3,0.9,2.4,8.2,3.49,1045
PHI,30,28.5,4.99,63,99,.389,4.69,162,162,161,1,7,1,35,1436.1,1592,809,749,191,488,37,1153,61,7,60,6332,85,4.40,1.448,10.0,1.2,3.1,7.2,2.36,1214
PIT,21,29.6,3.68,98,64,.605,3.21,162,162,162,0,13,0,54,1489.2,1392,596,532,110,453,38,1338,75,4,67,6215,119,3.36,1.239,8.4,0.7,2.7,8.1,2.95,1150
SDP,26,29.1,4.51,74,88,.457,4.09,162,162,161,1,6,0,41,1440.1,1371,731,655,171,516,35,1393,54,3,54,6093,90,3.93,1.310,8.6,1.1,3.2,8.7,2.70,1041
SFG,21,31.5,3.87,84,78,.519,3.72,162,162,155,7,18,4,41,1444.1,1344,627,597,155,431,28,1165,50,4,40,6009,101,3.91,1.229,8.4,1.0,2.7,7.3,2.70,1049
STL,23,28.2,3.24,100,62,.617,2.94,162,162,161,1,15,0,62,1464.2,1359,525,478,123,477,37,1329,45,5,48,6134,135,3.47,1.254,8.4,0.8,2.9,8.2,2.79,1215
WSN,26,28.6,3.92,83,79,.512,3.62,162,162,158,4,13,3,41,1434.2,1366,635,577,145,364,37,1342,55,4,39,5975,112,3.45,1.206,8.6,0.9,2.3,8.4,3.69,1036
LgAvg,26,28.4,4.21,80,82,.493,3.90,162,162,159,3,,,44,1448,1406,682,628,157,474,37,1268,52,5,55,6128,101,3.88,1.299,8.7,1.0,2.9,7.9,2.67,1104
,393,28.4,4.21,1198,1232,.493,3.90,2430,2430,2392,38,,,653,21713.1,21091,10225,9420,2355,7112,560,19023,782,79,820,91923,101,3.88,1.299,8.7,1.0,2.9,7.9,2.67,16558
