Bureau of Justice Statistics,,,,
Filename: fv9311at02.csv,,,,
"Appendix table 2. Numbers, rates, and standard errors for figure 2: Nonfatal firearm victimizations, 1993–2011",,,,
"Report title: Firearm Violence, 1993-2011",,,,
"Data source: National Crime Victimization Survey, 1993-2011",,,,
Authors: Michael Planty and Jennifer Truman,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 05/07/13,,,,
,,,,
"Appendix table 2. Numbers, rates, and standard errors for figure 2: Nonfatal firearm victimizations, 1993–2011",,,,
,,,,
,,,"Rate per 1,000 persons age ",
,Number,Standard error,12 or older,Standard error
1993,"1,529,700","104,582",7.3,0.5
1994,"1,568,200","83,431",7.4,0.4
1995,"1,193,200","70,572",5.5,0.3
1996,"1,100,800","68,653",5.1,0.3
1997,"1,024,100","72,643",4.7,0.3
1998,"835,400","69,401",3.8,0.3
1999,"640,900","54,713",2.9,0.2
2000,"610,200","55,220",2.7,0.2
2001,"563,100","53,309",2.5,0.2
2002,"540,000","50,299",2.3,0.2
2003,"467,300","47,783",2,0.2
2004,"456,500","47,513",1.9,0.2
2005,"503,500","55,594",2.1,0.2
2006,"614,400","61,310",2.5,0.2
2007,"554,800","55,886",2.2,0.2
2008,"371,300","45,794",1.5,0.2
2009,"410,100","48,765",1.6,0.2
2010,"415,000","47,172",1.6,0.2
2011,"467,300","53,197",1.8,0.2
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,
