Bureau of Justice Statistics,,,,,,,,
Filename: fv9311at03.csv,,,,,,,,
"Appendix table 3. Standard errors for table 1: Criminal firearm violence, 1993–2011",,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,
"Data source: National Crime Victimization Survey, 1993-2011",,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 05/07/13,,,,,,,,
,,,,,,,,
"Appendix table 3. Standard errors for table 1: Criminal firearm violence, 1993–2011",,,,,,,,
,,,,,,,,
,,,Number,,,,,
Year,Total fatal and nonfatal firearm violence,,Nonfatal firearm victimizations,Nonfatal firearm incidents,,Rate of nonfatal firearm victimization,Percent of all violence involving firearms,
1993,"105,349",,"104,582","91,169",,0.5,0.6,%
1994,"84,005",,"83,431","73,911",,0.4,0.4,
1995,"71,131",,"70,572","64,501",,0.3,0.4,
1996,"69,183",,"68,653","62,377",,0.3,0.5,
1997,"73,220",,"72,643","66,331",,0.3,0.5,
1998,"70,022",,"69,401","60,556",,0.3,0.5,
1999,"55,268",,"54,713","48,457",,0.2,0.5,
2000,"55,810",,"55,220","48,015",,0.2,0.6,
2001,"53,967",,"53,309","49,987",,0.2,0.7,
2002,"50,946",,"50,299","45,234",,0.2,0.6,
2003,"48,494",,"47,783","42,668",,0.2,0.6,
2004,"48,200",,"47,513","44,433",,0.2,0.7,
2005,"56,378",,"55,594","51,864",,0.2,0.8,
2006,"62,038",,"61,310","57,669",,0.2,0.7,
2007,"56,652",,"55,886","49,166",,0.2,0.8,
2008,"46,637",,"45,794","42,966",,0.2,0.7,
2009,"49,561",,"48,765","46,881",,0.2,0.8,
2010,"47,913",,"47,172","44,695",,0.2,0.9,
2011,"53,942",,"53,197","49,563",,0.2,0.8,
~Not applicable. ,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,,,
