Bureau of Justice Statistics,,,,,,
Filename: fv9311at04.csv,,,,,,
"Appendix table 4. Standard errors for table 2: Percent of violence involving a firearm, by type of crime, 1993–2011",,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,
"Data source: National Crime Victimization Survey, 1993-2011",,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 05/07/13,,,,,,
,,,,,,
"Appendix table 4. Standard errors for table 2: Percent of violence involving a firearm, by type of crime, 1993–2011",,,,,,
,,,,,,
Year,Nonfatal violence,,Robbery,,Aggravated assault,
1993,0.6,%,2.2,%,1.9,%
1994,0.4,,1.9,,1.5,
1995,0.4,,2.1,,1.5,
1996,0.4,,2,,1.5,
1997,0.5,,2.2,,1.7,
1998,0.5,,2.5,,1.9,
1999,0.5,,2.3,,1.8,
2000,0.6,,2.6,,2.2,
2001,0.6,,3.4,,2.3,
2002,0.6,,3.2,,2.5,
2003,0.6,,3.1,,2.3,
2004,0.7,,3.2,,2.4,
2005,0.8,,3.3,,2.8,
2006,0.7,,2.7,,2.4,
2007,0.8,,2.9,,2.9,
2008,0.7,,3.3,,3.1,
2009,0.8,,3.8,,2.9,
2010,0.9,,3.7,,3.1,
2011,0.8,,4,,3.2,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,
