Bureau of Justice Statistics,,,,,,,,,,,
Filename: fv9311at05.csv,,,,,,,,,,,
"Appendix table 5. Standard errors for table 3: Criminal firearm violence, by type of firearm, 1994–2011",,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,
"Data source: National Crime Victimization Survey, 1993-2011",,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 5. Standard errors for table 3: Criminal firearm violence, by type of firearm, 1994–2011",,,,,,,,,,,
,Nonfatal violence,,,,,,,,,,
,Handgun,,,,Other firearm,,,,Gun type unknown,,
Year,Number,Percent,,,Number,Percent,,,Number,Percent,
1994,"94,313",1.8,%,,"26,713",1.6,%,,"6,951",0.4,%
1995,"77,109",1.6,,,"21,832",1.5,,,"4,899",0.4,
1996,"66,253",1.9,,,"21,995",1.8,,,"4,366",0.4,
1997,"68,335",2.3,,,"25,950",2.2,,,"5,534",0.5,
1998,"68,151",2.6,,,"25,521",2.5,,,"4,522",0.5,
1999,"63,909",2.5,,,"18,379",2.3,,,"4,189",0.6,
2000,"57,439",2.8,,,"17,323",2.6,,,"4,260",0.7,
2001,"53,625",3.1,,,"17,115",2.7,,,"7,586",1.3,
2002,"48,977",3.1,,,"16,006",2.7,,,"7,929",1.4,
2003,"46,655",3.2,,,"14,670",2.7,,,"7,392",1.4,
2004,"45,846",3.6,,,"15,535",3.1,,,"8,509",1.8,
2005,"50,621",3.8,,,"17,269",3.3,,,"8,153",1.7,
2006,"56,341",3.1,,,"15,872",2.7,,,"8,415",1.5,
2007,"56,630",3.2,,,"18,308",2.9,,,"6,598",1.1,
2008,"48,199",3.6,,,"16,622",3.3,,,"4,666",1,
2009,"47,110",3.7,,,"14,157",3.4,,,"4,688",1.2,
2010,"50,636",3.1,,,"11,837",2.7,,,"4,313",1,
2011,"43,185",3.1,,,"13,868",2.9,,,"2,676",0.6,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,,,,,,
