Bureau of Justice Statistics,,,,,
Filename: fv9311at06.csv,,,,,
"Appendix table 6. Numbers and rates for figure 3: Firearm homicides, by sex, 1993–2010",,,,,
"Report title: Firearm Violence, 1993-2011",,,,,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,,
Authors: Michael Planty and Jennifer Truman,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 05/07/13,,,,,
,,,,,
"Appendix table 6. Numbers and rates for figure 3: Firearm homicides, by sex, 1993–2010",,,,,
,,,,,
,Number,,,"Rate per 100,000 persons",
Year,Male,Female,,Male,Female
1993,"15,228","3,025",,12,2.3
1994,"14,766","2,761",,11.5,2.1
1995,"13,021","2,530",,10,1.9
1996,"11,735","2,302",,8.9,1.7
1997,"11,147","2,105",,8.4,1.5
1998,"9,771","2,027",,7.2,1.4
1999,"8,944","1,884",,6.5,1.3
2000,"9,006","1,795",,6.5,1.3
2001,"9,532","1,816",,6.8,1.3
2002,"9,899","1,930",,7,1.3
2003,"10,126","1,794",,7.1,1.2
2004,"9,921","1,703",,6.9,1.1
2005,"10,561","1,791",,7.3,1.2
2006,"10,886","1,905",,7.4,1.3
2007,"10,767","1,865",,7.3,1.2
2008,"10,361","1,818",,6.9,1.2
2009,"9,615","1,878",,6.4,1.2
2010,"9,340","1,738",,6.2,1.1
"Source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars.  ",,,,,
