Bureau of Justice Statistics,,,,,
Filename: fv9311at07.csv,,,,,
"Appendix table 7. Rates and standard errors for figure 4: Nonfatal firearm violence, by sex, 1994–2011",,,,,
"Report title: Firearm Violence, 1993-2011",,,,,
"Data source: National Crime Victimization Survey, 1993-2011",,,,,
Authors: Michael Planty and Jennifer Truman,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 05/07/13,,,,,
,,,,,
"Appendix table 7. Rates and standard errors for figure 4: Nonfatal firearm violence, by sex, 1994–2011",,,,,
,,,,,
,Male,,,Female,
Year,Rate*,Standard error,,Rate*,Standard error
1994,10.1,0.6,,4.7,0.4
1995,9.3,0.5,,3.7,0.3
1996,7.6,0.4,,3.1,0.2
1997,6.4,0.4,,3.5,0.3
1998,5.5,0.4,,3,0.3
1999,4.4,0.4,,2.3,0.2
2000,3.7,0.3,,1.9,0.2
2001,3.5,0.3,,1.7,0.2
2002,2.9,0.3,,1.9,0.2
2003,2.7,0.2,,1.6,0.2
2004,2.5,0.2,,1.4,0.2
2005,2.5,0.3,,1.4,0.2
2006,2.8,0.3,,1.8,0.2
2007,2.8,0.3,,1.9,0.2
2008,2.2,0.2,,1.5,0.2
2009,2,0.2,,1.1,0.2
2010,2,0.2,,1.2,0.2
2011,1.9,0.2,,1.6,0.2
"*Per 1,000 persons age 12 or older.",,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,
