Bureau of Justice Statistics,,,,,,,,,
Filename: fv9311at08.csv,,,,,,,,,
"Appendix table 8. Numbers and rates for figure 5: Firearm homicides, by race, 1993–2010",,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,
,,,,,,,,,
"Appendix table 8. Numbers and rates for figure 5: Firearm homicides, by race, 1993–2010",,,,,,,,,
,,,,,,,,,
,Number,,,,,"Rate per 100,000 persons",,,
Year,White,Black,American Indian/Alaska Native,Asian/Pacific Islander,,White,Black,American Indian/Alaska Native,Asian/Pacific Islander
1993,"7,918","9,824",106,405,,3.7,30.1,4.6,4.6
1994,"7,774","9,302",123,328,,3.6,28,5.2,3.6
1995,"7,144","7,935",130,342,,3.2,23.4,5.3,3.6
1996,"6,240","7,403",90,304,,2.8,21.5,3.6,3
1997,"6,025","6,841",96,290,,2.7,19.5,3.7,2.8
1998,"5,412","6,053",99,234,,2.4,17,3.6,2.2
1999,"4,918","5,577",104,229,,2.2,15.4,3.7,2
2000,"4,806","5,699",86,210,,2.1,15.6,2.9,1.8
2001,"5,188","5,885",87,188,,2.2,15.8,2.8,1.5
2002,"5,185","6,285",117,242,,2.2,16.7,3.7,1.9
2003,"5,173","6,397",109,241,,2.2,16.7,3.3,1.8
2004,"5,119","6,201",104,200,,2.2,16,3,1.4
2005,"5,266","6,703",117,266,,2.2,17.1,3.3,1.8
2006,"5,279","7,113",119,280,,2.2,17.9,3.2,1.9
2007,"5,380","6,960",91,201,,2.2,17.2,2.4,1.3
2008,"5,305","6,569",97,208,,2.2,16,2.4,1.3
2009,"4,950","6,216",112,215,,2,14.9,2.7,1.3
2010,"4,647","6,151",113,167,,1.9,14.6,2.7,1
"Source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars.",,,,,,,,,
