Bureau of Justice Statistics,,,,,
Filename: fv9311at09.csv,,,,,
"Appendix table 9. Numbers and rates for figure 6: Firearm homicides, by Hispanic origin, 1993–2010",,,,,
"Report title: Firearm Violence, 1993-2011",,,,,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,,
Authors: Michael Planty and Jennifer Truman,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 05/07/13,,,,,
,,,,,
"Appendix table 9. Numbers and rates for figure 6: Firearm homicides, by Hispanic origin, 1993–2010",,,,,
,,,,,
,Number,,,"Rate per 100,000 persons",
Year,Hispanic,Non-Hispanic,,Hispanic,Non-Hispanic
1993,"3,192","14,597",,12.4,6.3
1994,"3,149","14,065",,11.7,6
1995,"3,008","12,260",,10.7,5.2
1996,"2,529","11,229",,8.6,4.7
1997,"2,298","10,868",,7.4,4.5
1998,"2,090","9,620",,6.5,4
1999,"1,939","8,821",,5.7,3.6
2000,"1,958","8,767",,5.6,3.6
2001,"2,123","9,134",,5.7,3.7
2002,"2,168","9,575",,5.6,3.9
2003,"2,316","9,536",,5.8,3.8
2004,"2,241","9,323",,5.4,3.7
2005,"2,453","9,835",,5.7,3.9
2006,"2,472","10,260",,5.5,4
2007,"2,385","10,193",,5.2,4
2008,"2,260","9,882",,4.7,3.9
2009,"2,115","9,275",,4.3,3.6
2010,"1,919","9,082",,3.8,3.5
"Source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars.  ",,,,,
