Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: fv9311at10.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 10. Rates and standard errors for figure 7: Nonfatal firearm violence, by race and Hispanic origin, 1994–2011",,,,,,,,,,,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 1993-2011",,,,,,,,,,,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Appendix table 10. Rates and standard errors for figure 7: Nonfatal firearm violence, by race and Hispanic origin, 1994–2011",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,White,,,Black,,,Hispanic,,,American Indian/Alaska Native,,,,Asian/Pacific Islander,,,,Two or more races,,
Year,Rate*,Standard error,,Rate*,Standard error,,Rate*,Standard error,,Rate*,,Standard error,,Rate*,,Standard error,,Rate*,,Standard error
1994,5.2,0.3,,16.3,1.3,,12.7,1.4,,15.3, !,5.3,,10.3,,2,,~,,~
1995,4.6,0.3,,14.2,1.1,,12.1,1.1,,16.3,,4.9,,4.9,,1.1,,~,,~
1996,3.9,0.2,,11.6,0.9,,9.3,0.9,,13.3, !,4.4,,3.4,,0.9,,~,,~
1997,4,0.3,,9.4,0.9,,6.9,0.8,,3.7, !,2.6,,2,,0.7,,~,,~
1998,3.4,0.3,,7.4,0.8,,5.6,0.8,,20.9, !,6.6,,3.9,,1,,~,,~
1999,2.2,0.2,,7.9,0.9,,5,0.8,,25.1, !,7.5,,4,,1.1,,~,,~
2000,1.8,0.2,,7,0.8,,4.7,0.7,,4.8, !,3.2,,1.9,,0.7,,~,,~
2001,2,0.2,,5,0.7,,3.8,0.6,,1.1, !,1.5,,1.5, !,0.6,,~,,~
2002,1.7,0.2,,5.6,0.7,,3.7,0.6,,1.1, !,1.4,,0.9, !,0.4,,~,,~
2003,1.5,0.2,,5.7,0.7,,2.6,0.4,,--,,~,,1, !,0.5,,~,,~
2004,1.7,0.2,,4.4,0.6,,1.5,0.3,,--,,~,,1.1, !,0.5,,0.9, !,1.1
2005,1.6,0.2,,4.2,0.7,,2.2,0.4,,--,,~,,1.2, !,0.5,,2.8, !,2
2006,1.7,0.2,,4.4,0.7,,3.4,0.6,,1.8, !,1.9,,2.1, !,0.7,,4, !,2.2
2007,1.4,0.2,,7.1,0.9,,3,0.5,,3.3, !,2.4,,1.7, !,0.6,,4.7, !,2.1
2008,1,0.1,,6.9,0.8,,1.9,0.4,,3.2, !,2.3,,1, !,0.5,,2.7, ! ,1.5
2009,0.9,0.1,,5.1,0.7,,1.7,0.4,,2.9, !,2.3,,0.9, !,0.4,,1.4, !,1.2
2010,1,0.1,,4.5,0.7,,2.1,0.4,,9.2, ! ,4.2,,0.3, !,0.2,,5.7, !,2.5
2011,1.4,0.1,,2.8,0.4,,2.2,0.4,,8.6, !,3.4,,0.6, !,0.3,,7.6,,2.3
"*Per 1,000 persons age 12 or older.",,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,,,,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,,,,,,,,,,
--Less than 0.05.,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,,,,,,,,,,,,,,,
