Bureau of Justice Statistics,,,,,,
Filename: fv9311at11.csv,,,,,,
"Appendix table 11. Numbers for table 4: Firearm homicides, by age, 1993–2011",,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 05/07/13,,,,,,
,,,,,,
"Appendix table 11. Numbers for table 4: Firearm homicides, by age, 1993–2011",,,,,,
Year,11 or younger,12–17,18–24,25–34,35–49,50 or older
1993,240,"1,735","5,673","5,295","3,808","1,476"
1994,176,"1,736","5,435","5,059","3,700","1,399"
1995,183,"1,597","4,726","4,448","3,222","1,351"
1996,178,"1,295","4,334","3,918","3,030","1,266"
1997,174,"1,134","4,148","3,706","2,905","1,168"
1998,157,888,"3,753","3,231","2,669","1,082"
1999,142,859,"3,319","3,048","2,419","1,026"
2000,110,709,"3,371","3,074","2,488","1,037"
2001,150,685,"3,611","3,308","2,530","1,053"
2002,151,721,"3,708","3,465","2,646","1,125"
2003,121,684,"3,840","3,540","2,624","1,093"
2004,105,763,"3,485","3,503","2,533","1,214"
2005,111,810,"3,808","3,780","2,689","1,145"
2006,142,940,"4,030","3,767","2,688","1,216"
2007,140,898,"3,895","3,751","2,737","1,202"
2008,140,844,"3,662","3,612","2,655","1,264"
2009,142,745,"3,398","3,300","2,538","1,364"
2010,127,708,"3,273","3,331","2,294","1,340"
"Source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars.  ",,,,,,
