Bureau of Justice Statistics,,,,,,,,,
Filename: fv9311at13.csv,,,,,,,,,
"Appendix table 13. Numbers and rates for figure 8: Firearm homicides, by region, 1993–2011",,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,
,,,,,,,,,
"Appendix table 13. Numbers and rates for figure 8: Firearm homicides, by region, 1993–2011",,,,,,,,,
,Number,,,,,"Rate per 100,000 persons",,,
Year,Northeast,South,Midwest,West,,Northeast,South,Midwest,West
1993,"2,918","7,863","3,365","4,107",,5.6,8.7,5.5,7.3
1994,"2,489","7,577","3,391","4,070",,4.8,8.3,5.5,7.1
1995,"2,100","6,659","2,980","3,812",,4,7.1,4.8,6.5
1996,"1,838","6,248","2,791","3,160",,3.5,6.6,4.4,5.3
1997,"1,641","6,020","2,661","2,930",,3.1,6.3,4.2,4.9
1998,"1,347","5,434","2,490","2,527",,2.5,5.6,3.9,4.1
1999,"1,327","4,905","2,319","2,277",,2.5,5,3.6,3.7
2000,"1,391","4,846","2,284","2,280",,2.6,4.8,3.6,3.6
2001,"1,407","4,989","2,477","2,475",,2.6,4.9,3.8,3.8
2002,"1,406","5,292","2,381","2,750",,2.6,5.1,3.7,4.2
2003,"1,489","5,395","2,324","2,712",,2.7,5.2,3.6,4.1
2004,"1,485","5,164","2,212","2,763",,2.7,4.9,3.4,4.1
2005,"1,554","5,536","2,387","2,875",,2.9,5.2,3.6,4.2
2006,"1,715","5,701","2,505","2,870",,3.2,5.2,3.8,4.2
2007,"1,577","6,055","2,354","2,646",,2.9,5.5,3.6,3.8
2008,"1,506","5,778","2,439","2,456",,2.7,5.2,3.7,3.5
2009,"1,440","5,438","2,359","2,256",,2.6,4.8,3.5,3.2
2010,"1,552","5,082","2,296","2,148",,2.8,4.4,3.4,3
"Source:Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars. ",,,,,,,,,
