Bureau of Justice Statistics,,,,,,,,,,,
Filename: fv9311at14.csv,,,,,,,,,,,
"Appendix table 14.  Rates and standard errors for figure 9: Nonfatal firearm violence, by region, 1997–2011",,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,
"Data source: National Crime Victimization Survey, 1996-2011",,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 14.  Rates and standard errors for figure 9: Nonfatal firearm violence, by region, 1997–2011",,,,,,,,,,,
,,,,,,,,,,,
,Northeast,,,Midwest,,,South,,,West,
Year,Rate*,Standard error,,Rate*,Standard error,,Rate*,Standard error,,Rate*,Standard error
1997,3.1,0.4,,4.7,0.5,,5.4,0.4,,5.7,0.5
1998,2.1,0.3,,3.9,0.4,,5,0.4,,5.1,0.5
1999,1.4,0.3,,3,0.4,,3.6,0.4,,4.9,0.5
2000,1.3,0.3,,2.5,0.3,,2.8,0.3,,4.5,0.5
2001,1.4,0.3,,2.6,0.4,,3,0.3,,2.8,0.4
2002,1.3,0.3,,2.2,0.3,,3.3,0.3,,2,0.3
2003,1,0.2,,2.1,0.3,,2.9,0.3,,1.9,0.3
2004,0.8,0.2,,2.6,0.3,,1.9,0.2,,2.2,0.3
2005,0.9,0.2,,2.8,0.4,,1.9,0.3,,1.9,0.3
2006,1.2,0.3,,2.6,0.4,,2.7,0.3,,2.2,0.3
2007,0.9,0.2,,2.1,0.3,,3.5,0.4,,1.9,0.3
2008,0.7,0.2,,2.1,0.3,,2.8,0.3,,1.1,0.2
2009,0.8,0.2,,2,0.3,,1.7,0.2,,1.4,0.3
2010,0.9,0.2,,1.9,0.3,,1.7,0.2,,1.8,0.3
2011,1.3,0.2,,1.7,0.3,,1.9,0.2,,1.8,0.3
"*Rate per 1,000 persons age 12 or older.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1996–2011.",,,,,,,,,,,
