Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: fv9311at16.csv,,,,,,,,,,,,,,,,,
"Appendix table 16.  Rates and standard errors for table 5: Nonfatal firearm violence, by population size, 1997–2011",,,,,,,,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 1996-2011",,,,,,,,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Appendix table 16.  Rates and standard errors for table 5: Nonfatal firearm violence, by population size, 1997–2011",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Not a place,,,"Under 100,000",,,"100,000–249,999",,,"250,000–499,999",,,"500,000–999,999",,,1 million or more,
Year,Rate*,Standard error,,Rate*,Standard error,,Rate*,Standard error,,Rate*,Standard error,,Rate*,Standard error,,Rate*,Standard error
1997,3.9,0.4,,3.8,0.3,,7,0.9,,10.3,1.3,,7.3,1.3,,7.3,1
1998,3,0.3,,3.9,0.3,,4.8,0.8,,7,1.1,,9.2,1.6,,5.7,0.9
1999,1.9,0.3,,3.1,0.3,,3.1,0.6,,5.5,1,,9,1.6,,6.4,1
2000,1.5,0.2,,2.2,0.2,,3.9,0.7,,6.5,1.1,,6.3,1.3,,5.6,0.9
2001,1.4,0.2,,2.1,0.2,,4.1,0.7,,6.1,1.1,,5.5,1.2,,5.1,0.9
2002,1.2,0.2,,2.3,0.2,,2.8,0.6,,3.9,0.8,,4.9,1.1,,5.3,0.8
2003,1.4,0.2,,2,0.2,,2.8,0.5,,3.3,0.7,,5.1,1.1,,3.6,0.7
2004,1.4,0.2,,1.4,0.2,,3,0.6,,4.1,0.9,,5.5,1.2,,2.7,0.6
2005,1.2,0.2,,1.6,0.2,,2.9,0.6,,3.6,0.9,,4.5,1.2,,4.6,0.9
2006,1.6,0.2,,2.1,0.2,,2.6,0.6,,2.6,0.8,,3.8,1,,4.9,0.9
2007,1.5,0.2,,2.6,0.3,,2.7,0.5,,2.4,0.7,,5.4,1.1,,2.1,0.5
2008,0.8,0.2,,2.1,0.2,,2.1,0.5,,3.2,0.8,,4.9,1,,1.4,0.4
2009,0.9,0.2,,1.1,0.2,,2.2,0.5,,3,0.8,,4,1,,3.5,0.7
2010,0.9,0.2,,1.2,0.2,,1.8,0.5,,2.8,0.8,,5.1,1.1,,4,0.8
2011,1.4,0.2,,1.2,0.2,,1.3,0.3,,3.9,0.8,,4.6,0.9,,3.2,0.6
"*Rate per 1,000 persons age 12 or older.",,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1996–2011.",,,,,,,,,,,,,,,,,
