Bureau of Justice Statistics,,,,,,,,,,,,
Filename: fv9311at18.csv,,,,,,,,,,,,
"Appendix table 18. Standard errors for table 7: Nonfatal firearm and nonfirearm violence, by location of crime, 2007–2011",,,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2007-2011",,,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix table 18. Standard errors for table 7: Nonfatal firearm and nonfirearm violence, by location of crime, 2007–2011",,,,,,,,,,,,
,,,,,,,,,,,,
,,Total nonfatal violence,,,,Firearm violence,,,,Nonfirearm violence,,
Location,,Number,Percent,,,Total number,Percent,,,Total number,Percent,
,Total,"520,094",~,,,"107,331",~,,,"495,761",~,
Victims home or lodging,,"204,185",0.6,%,,"42,032",1.6,%,,"195,889",0.6,%
Near victim’s home,,"170,118",0.5,,,"46,062",1.8,,,"159,113",0.5,
"In, at, or near a friend, neighbor, or relative’s home",,"106,117",0.3,,,"22,283",1,,,"102,275",0.3,
Commercial place,,"125,178",0.4,,,"27,429",1.2,,,"120,070",0.4,
Parking lot or garage,,"91,497",0.3,,,"37,086",1.5,,,"80,309",0.3,
School,,"150,761",0.5,,,"6,544",0.3,,,"150,471",0.5,
"Open area, on street, or public transportation",,"166,506",0.5,,,"46,260",1.8,,,"155,261",0.5,
Other location,,"128,572",0.4,,,"18,853",0.8,,,"126,101",0.4,
~Not applicable. ,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2007–2011.",,,,,,,,,,,,
