Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: fv9311at19.csv,,,,,,,,,,,,,,
"Appendix table 19. Standard errors for table 9: Nonfatal firearm and nonfirearm violence, by injury and treatment received, 2007–2011",,,,,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2007-2011",,,,,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Appendix table 19. Standard errors for table 9: Nonfatal firearm and nonfirearm violence, by injury and treatment received, 2007–2011",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Total nonfatal violence,,,,Firearm violence,,,,Nonfirearm violence,,
Injury and treatment,,,,Number,Percent,,,Total number,Percent,,,Total number,Percent,
Injury,,,,"520,094",~,,,"107,331",~,,,"495,761",~,
,Not injured,,,"435,239",0.7,%,,"92,106",1.8,%,,"414,216",0.7,%
,Injured,,,"221,742",0.6,,,"46,376",1.8,,,"212,304",0.6,
,,Serious injuries,,"76,874",0.2,,,"23,654",1,,,"73,196",0.3,
,,,Gun shot,"12,758",--,,,"12,758",0.6,,,~,~,
,,Minor injuries,,"189,519",0.5,,,"38,061",1.5,,,"182,281",0.6,
,,Rape without other injuries,,"39,058",0.1,,,"4,232",0.2,,,"38,750",0.1,
Treatment for injury,,,,"221,742",~,,,"46,376",~,,,"212,304",~,
,No treatment,,,"159,205",1.3,%,,"22,999",3.7,%,,"156,054",1.3,%
,Any treatment,,,"130,902",1.2,,,"38,813",3.8,,,"121,399",1.3,
Treatment setting,,,,"130,902",~,,,"38,813",~,,,"121,399",~,
,"At the scene/home of victim, neighbor, or friend/ other location",,,"70,643",1.7,%,,"15,653",3.8,%,,"68,065",1.9,%
,"In doctor’s office, hospital emergency room, or overnight at hospital",,,"101,753",1.8,,,"34,730",3.8,,,"92,599",1.9,
--Less than 0.05%.,,,,,,,,,,,,,,
~Not applicable. ,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2007–2011.",,,,,,,,,,,,,,
