Bureau of Justice Statistics,,,,,,,,
Filename: fv9311at21.csv,,,,,,,,
"Appendix table 21. Standard errors for table 10: Nonfatal firearm and nonfirearm violence reported and not reported to police, 2007–2011",,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,
"Data source: National Crime Victimization Survey, 2007-2011",,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 05/07/13,,,,,,,,
,,,,,,,,
"Appendix table 21. Standard errors for table 10: Nonfatal firearm and nonfirearm violence reported and not reported to police, 2007–2011",,,,,,,,
,,,,,,,,
,,,Total nonfatal violence,Firearm violence,Nonfirearm violence,,,
,Total,,~,,~,,~,
Reported,,,0.7,%,2.1,%,0.7,%
Not reported,,,0.7,,2.1,,0.8,
,Reason not reported,,~,,~,,~,
,,Dealt with it another way,0.9,%,2.1,%,0.9,%
,,Not important enough to respondent,0.7,,1.6,,0.7,
,,Police could not or would not do anything to help,0.7,,3,,0.7,
,,Fear of reprisal,0.4,,3.1,,0.4,
,,"Did not want to get offender in trouble with law, or advised not to report",0.4,,1.3,,0.4,
,,"Other, unknown, or not one most important reason",0.7,,2.6,,0.7,
~Not applicable. ,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2007–2011.",,,,,,,,
