Bureau of Justice Statistics,,,,,,,,
Filename: fv9311at22.csv,,,,,,,,
"Appendix table 22. Standard errors for table 11: Self-protective behaviors, by type of crime, 2007–2011",,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,
"Data source: National Crime Victimization Survey, 2007-2011",,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 05/07/13,,,,,,,,
,,,,,,,,
"Appendix table 22. Standard errors for table 11: Self-protective behaviors, by type of crime, 2007–2011",,,,,,,,
,,,,,,,,
,,Violent crime,,,,Property crime,,
Self-protective behavior,,Total number,Percent,,,Total number,Percent,
,Total,"520,094",~,,,"619,179",~,
Offered no resistance,,"312,558",0.7,%,,"295,645",0.3,%
Threatened or attacked with a firearm,,"30,347",0.1,,,"24,437",--,
Threatened or attacked with other weapon,,"40,012",0.1,,,"14,630",--,
Threatened or attacked without a weapon,,"205,362",0.6,,,"51,411",0.1,
Nonconfrontational tactics,,"227,856",0.6,,,"90,178",0.1,
Other reaction,,"90,004",0.3,,,"36,683",--,
Unknown reaction,,"12,068",--,,,"8,176",--,
Victim was not present,,~,~,,,"641,196",0.4,
~Not applicable. ,,,,,,,,
--Less than 0.05%.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2007–2011.",,,,,,,,
