Bureau of Justice Statistics,,
Filename: fv9311f01.csv,,
"Figure 1. Firearm homicides, 1993-2011",,
"Report title: Firearm Violence, 1993-2011",,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,
Authors: Michael Planty and Jennifer Truman,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 05/07/13,,
,,
"Figure 1. Firearm homicides, 1993-2011",,
,Number,"Rate per 100,000 persons"
1993,"18,253",7
1994,"17,527",6.7
1995,"15,551",5.8
1996,"14,037",5.2
1997,"13,252",4.9
1998,"11,798",4.3
1999,"10,828",3.9
2000,"10,801",3.8
2001,"11,348",4
2002,"11,829",4.1
2003,"11,920",4.1
2004,"11,624",4
2005,"12,352",4.2
2006,"12,791",4.3
2007,"12,632",4.2
2008,"12,179",4
2009,"11,493",3.8
2010,"11,078",3.6
2011*,"11,101",3.6
Note: Excludes homicides due to legal intervention and operations of war. See appendix table 1 for numbers and rates.,,
"*Preliminary estimates retrieved from Hoyert DL, Xu JQ. (2012) Deaths: Preliminary data for 2011. National Vital Statistics Reports, 61(6). ",,
"Source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars. ",,
