Bureau of Justice Statistics,,
Filename: fv9311f02.csv,,
"Figure 2. Nonfatal firearm victimizations, 1993–2011",,
"Report title: Firearm Violence, 1993-2011",,
"Data source: National Crime Victimization Survey, 1993-2011",,
Authors: Michael Planty and Jennifer Truman,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 05/07/13,,
,,
"Figure 2. Nonfatal firearm victimizations, 1993–2011",,
,Number,"Rate per 1,000 persons age 12 or older"
1993,"1,529,700",7.3
1994,"1,568,200",7.4
1995,"1,193,200",5.5
1996,"1,100,800",5.1
1997,"1,024,100",4.7
1998,835400,3.8
1999,640900,2.9
2000,610200,2.7
2001,563100,2.5
2002,540000,2.3
2003,467300,2
2004,456500,1.9
2005,503500,2.1
2006,614400,2.5
2007,554800,2.2
2008,371300,1.5
2009,410100,1.6
2010,415000,1.6
2011,467300,1.8
"Note: See appendix table 2 for numbers, rates, and standard errors.",,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,
