Bureau of Justice Statistics,,
Filename: fv9311f03.csv,,
"Figure 3. Firearm homicides, by sex, 1993–2010",,
"Report title: Firearm Violence, 1993-2011",,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,
Authors: Michael Planty and Jennifer Truman,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 05/07/13,,
,,
"Figure 3. Firearm homicides, by sex, 1993–2010",,
"Rate per 100,000 persons",,
,Male,Female
1993,12,2.3
1994,11.5,2.1
1995,10,1.9
1996,8.9,1.7
1997,8.4,1.5
1998,7.2,1.4
1999,6.5,1.3
2000,6.5,1.3
2001,6.8,1.3
2002,7,1.3
2003,7.1,1.2
2004,6.9,1.1
2005,7.3,1.2
2006,7.4,1.3
2007,7.3,1.2
2008,6.9,1.2
2009,6.4,1.2
2010,6.2,1.1
Note: See appendix table 6 for numbers and rates.,,
"Source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control, Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars. ",,
