Bureau of Justice Statistics,,
Filename: fv9311f04.csv,,
"Figure 4. Nonfatal firearm violence, by sex, 1994–2011",,
"Report title: Firearm Violence, 1993-2011",,
"Data source: National Crime Victimization Survey, 1993-2011",,
Authors: Michael Planty and Jennifer Truman,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 05/07/13,,
,,
"Figure 4. Nonfatal firearm violence, by sex, 1994–2011",,
"Rate per 1,000 persons age 12 or older",,
,Male,Female
1994,10.1,4.7
1995,9.3,3.7
1996,7.6,3.1
1997,6.4,3.5
1998,5.5,3
1999,4.4,2.3
2000,3.7,1.9
2001,3.5,1.7
2002,2.9,1.9
2003,2.7,1.6
2004,2.5,1.4
2005,2.5,1.4
2006,2.8,1.8
2007,2.8,1.9
2008,2.2,1.5
2009,2,1.1
2010,2,1.2
2011,1.9,1.6
Note: Data based on 2-year rolling averages beginning in 1993. See appendix table 7 for rates and standard errors.,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,
