Bureau of Justice Statistics,,,,
Filename: fv9311f05.csv,,,,
"Figure 5. Firearm homicides, by race, 1993–2010",,,,
"Report title: Firearm Violence, 1993-2011",,,,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,
Authors: Michael Planty and Jennifer Truman,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 05/07/13,,,,
,,,,
"Figure 5. Firearm homicides, by race, 1993–2010",,,,
"Rate per 100,000 persons",,,,
,White,Black,American Indian/Alaska Native,Asian/Pacific Islander
1993,3.7,30.1,4.6,4.6
1994,3.6,28,5.2,3.6
1995,3.2,23.4,5.3,3.6
1996,2.8,21.5,3.6,3
1997,2.7,19.5,3.7,2.8
1998,2.4,17,3.6,2.2
1999,2.2,15.4,3.7,2
2000,2.1,15.6,2.9,1.8
2001,2.2,15.8,2.8,1.5
2002,2.2,16.7,3.7,1.9
2003,2.2,16.7,3.3,1.8
2004,2.2,16,3,1.4
2005,2.2,17.1,3.3,1.8
2006,2.2,17.9,3.2,1.9
2007,2.2,17.2,2.4,1.3
2008,2.2,16,2.4,1.3
2009,2,14.9,2.7,1.3
2010,1.9,14.6,2.7,1
Note: See appendix table 8 for numbers and rates.,,,,
"Source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control, Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars. ",,,,
