Bureau of Justice Statistics,,
Filename: fv9311f06.csv,,
"Figure 6. Firearm homicides, by Hispanic origin, 1993–2010",,
"Report title: Firearm Violence, 1993-2011",,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,
Authors: Michael Planty and Jennifer Truman,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 05/07/13,,
,,
"Figure 6. Firearm homicides, by Hispanic origin, 1993–2010",,
"Rate per 100,000 persons",,
,Hispanic,Non-Hispanic
1993,12.4,6.3
1994,11.7,6
1995,10.7,5.2
1996,8.6,4.7
1997,7.4,4.5
1998,6.5,4
1999,5.7,3.6
2000,5.6,3.6
2001,5.7,3.7
2002,5.6,3.9
2003,5.8,3.8
2004,5.4,3.7
2005,5.7,3.9
2006,5.5,4
2007,5.2,4
2008,4.7,3.9
2009,4.3,3.6
2010,3.8,3.5
Note: See appendix table 9 for numbers and rates.,,
"Source: Bureau of Justice Statistics, Centers for Disease Control and Prevention, National Center for Injury Prevention and Control, Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars.",,
