Bureau of Justice Statistics,,,,
Filename: fv9311f08.csv,,,,
"Figure 8.  Firearm homicides, by region, 1993–2011",,,,
"Report title: Firearm Violence, 1993-2011",,,,
"Data source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,
Authors: Michael Planty and Jennifer Truman,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 05/07/13,,,,
,,,,
"Figure 8.  Firearm homicides, by region, 1993–2011",,,,
"Rate per 100,000 persons",,,,
,Northeast,South,Midwest,West
1993,5.6,8.7,5.5,7.3
1994,4.8,8.3,5.5,7.1
1995,4,7.1,4.8,6.5
1996,3.5,6.6,4.4,5.3
1997,3.1,6.3,4.2,4.9
1998,2.5,5.6,3.9,4.1
1999,2.5,5,3.6,3.7
2000,2.6,4.8,3.6,3.6
2001,2.6,4.9,3.8,3.8
2002,2.6,5.1,3.7,4.2
2003,2.7,5.2,3.6,4.1
2004,2.7,4.9,3.4,4.1
2005,2.9,5.2,3.6,4.2
2006,3.2,5.2,3.8,4.2
2007,2.9,5.5,3.6,3.8
2008,2.7,5.2,3.7,3.5
2009,2.6,4.8,3.5,3.2
2010,2.8,4.4,3.4,3
Note: See appendix table 13 for numbers and rates.,,,,
"Source: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars).",,,,
