Bureau of Justice Statistics,,,,
Filename: fv9311f09.csv,,,,
"Figure 9. Nonfatal firearm violence, by region, 1997–2011",,,,
"Report title: Firearm Violence, 1993-2011",,,,
"Data source: National Crime Victimization Survey, 1996-2011",,,,
Authors: Michael Planty and Jennifer Truman,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 05/07/13,,,,
,,,,
"Figure 9. Nonfatal firearm violence, by region, 1997–2011",,,,
,Northeast,Midwest,South,West
1997,3.1,4.7,5.4,5.7
1998,2.1,3.9,5,5.1
1999,1.4,3,3.6,4.9
2000,1.3,2.5,2.8,4.5
2001,1.4,2.6,3,2.8
2002,1.3,2.2,3.3,2
2003,1,2.1,2.9,1.9
2004,0.8,2.6,1.9,2.2
2005,0.9,2.8,1.9,1.9
2006,1.2,2.6,2.7,2.2
2007,0.9,2.1,3.5,1.9
2008,0.7,2.1,2.8,1.1
2009,0.8,2,1.7,1.4
2010,0.9,1.9,1.7,1.8
2011,1.3,1.7,1.9,1.8
Note: Data based on 2-year rolling averages beginning in 1996. Region information was not available from 1993 to 1995. See appendix table 14 for rates and standard errors.,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1996–2011.",,,,
