Bureau of Justice Statistics,,,
Filename: fv9311f10.csv,,,
"Figure 10. Nonfatal firearm violence, by urban-rural location, 1994-2011",,,
"Report title: Firearm Violence, 1993-2011",,,
"Data source: National Crime Victimization Survey, 1993-2011",,,
Authors: Michael Planty and Jennifer Truman,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of version: 05/07/13,,,
,,,
"Figure 10. Nonfatal firearm violence, by urban-rural location, 1994-2011",,,
"Rate per 1,000 persons age 12 or older",,,
,Urban,Suburban,Rural
1994,10.6,6.3,5.2
1995,10.1,5.5,3.6
1996,8.4,4.4,3.1
1997,7.3,3.9,3.6
1998,6.2,3.8,2.3
1999,5.3,3.1,1
2000,4.8,2.3,1
2001,4.4,2,1.4
2002,4.4,1.8,1.1
2003,3.7,1.7,0.9
2004,3,1.7,1
2005,3.4,1.5,1.1
2006,3.3,1.8,1.9
2007,2.6,2.3,1.9
2008,2.2,1.8,1.2
2009,2.6,1.1,0.9
2010,2.8,1.2,0.7
2011,2.5,1.4,1.2
Note: Data based on 2-year rolling averages beginning in 1993. See appendix table 15 for rates and standard errors.,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,
