Bureau of Justice Statistics,
Filename: fv9311f11.csv,
"Figure 11. Nonfatal firearm injuries, 2001–2011",
"Report title: Firearm Violence, 1993-2011",
"Data source: Consumer Product Safety Commission, National Electronic Injury Surveillance System All Injury Program (NEISS-AIP), 2001–2011. Accessed from the National Center for Injury Prevention and Control, CDC.",
Authors: Michael Planty and Jennifer Truman,
Refer questions to: askbjs@usdoj.gov 202-307-0765,
Date of version: 05/07/13,
,
"Figure 11. Nonfatal firearm injuries, 2001–2011",
,Number of nonfatal firearm injuries
2001,"41,044"
2002,"37,321"
2003,"42,505"
2004,"43,592"
2005,"50,320"
2006,"52,748"
2007,"48,676"
2008,"56,626"
2009,"44,466"
2010,"53,738"
2011,"55,544"
Note: See appendix table 20 for numbers and standard errors.,
"! Interpret with caution. Estimate based on fewer than 20 NEISS cases (based on unweighted data), national estimates less than 1,200 (based on weighted data), or the coefficient of variation (CV) of the estimate greater than 30%.  ",
"Source: Consumer Product Safety Commission, National Electronic Injury Surveillance System All Injury Program (NEISS-AIP), 2001–2011. Accessed from the National Center for Injury Prevention and Control, CDC.",
