Bureau of Justice Statistics,,,,,,,,,,,
Filename: fv9311t01.csv,,,,,,,,,,,
"Table 1. Criminal firearm violence, 1993–2011",,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,
"Data source: National Crime Victimization Survey, 1993-2011; and Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Criminal firearm violence, 1993–2011",,,,,,,,,,,
,,,,,,,,,,,
,,Number ,,,,,,Percent,,,
Year,Total fatal and nonfatal firearm violence,Firearm homicides,Nonfatal firearm victimizations/a,Nonfatal firearm incidents/b,,Rate of nonfatal firearm victimization/c,,All violence involving firearms,All firearm violence that was homicide ,,
1993,"1,548,000","18,253","1,529,700","1,222,700",,7.3,,9.2,%,1.2,%
1994,"1,585,700","17,527","1,568,200","1,287,200",,7.4,,9.3,,1.1,
1995,"1,208,800","15,551","1,193,200","1,028,900",,5.5,,7.9,,1.3,
1996,"1,114,800","14,037","1,100,800","939,500",,5.1,,7.9,,1.3,
1997,"1,037,300","13,252","1,024,100","882,900",,4.7,,7.7,,1.3,
1998,"847,200","11,798","835,400","673,300",,3.8,,7,,1.4,
1999,"651,700","10,828","640,900","523,600",,2.9,,6.1,,1.7,
2000,"621,000","10,801","610,200","483,700",,2.7,,7.3,,1.7,
2001,"574,500","11,348","563,100","507,000",,2.5,,7.7,,2,
2002,"551,800","11,829","540,000","450,800",,2.3,,7.4,,2.1,
2003,"479,300","11,920","467,300","385,000",,2,,6.2,,2.5,
2004,"468,100","11,624","456,500","405,800",,1.9,,6.9,,2.5,
2005,"515,900","12,352","503,500","446,400",,2.1,,7.4,,2.4,
2006,"627,200","12,791","614,400","552,000",,2.5,,7.4,,2,
2007,"567,400","12,632","554,800","448,400",,2.2,,8.3,,2.2,
2008,"383,500","12,179","371,300","331,600",,1.5,,6,,3.2,
2009,"421,600","11,493","410,100","383,400",,1.6,,7.4,,2.7,
2010,"426,100","11,078","415,000","378,800",,1.6,,8.6,,2.6,
2011/d,"478,400","11,101","467,300","414,600",,1.8,,8.2,,2.3,
Note: See appendix table 3 for standard errors.,,,,,,,,,,,
a/A victimization refers to a single victim that experienced a criminal incident.,,,,,,,,,,,
b/An incident is a specific criminal act involving one or more victims or victimizations.,,,,,,,,,,,
"c/Per 1,000 persons age 12 or older. ",,,,,,,,,,,
"d/Preliminary homicide estimates retrieved from Hoyert DL, Xu JQ. (2012) Deaths: Preliminary data for 2011. National Vital Statistics Reports, 61(6). ",,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011; and Centers for Disease Control and Prevention, National Center for Injury Prevention and Control, Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars. ",,,,,,,,,,,
