Bureau of Justice Statistics,,,,,,,,
Filename: fv9311t02.csv,,,,,,,,
"Table 2. Percent of violence involving a firearm, by type of crime, 1993–2011",,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,
"Data source: National Crime Victimization Survey, 1993-2011; and Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 05/07/13,,,,,,,,
,,,,,,,,
"Table 2. Percent of violence involving a firearm, by type of crime, 1993–2011",,,,,,,,
,,,,,,,,
Year,Homicide,,Nonfatal violence/a,,Robbery,,Aggravated assault,
1993,71.2,%,9.1,%,22.3,%,30.7,%
1994,71.4,,9.2,,27.1,,31.9,
1995,69,,7.8,,27.3,,28,
1996,68,,7.8,,24.6,,25.7,
1997,68,,7.6,,19.9,,27,
1998,65.9,,7,,20.1,,26.5,
1999,64.1,,6,,19.2,,22.4,
2000,64.4,,7.2,,21.1,,26.6,
2001/b,55.9,,7.5,,29.5,,26,
2002,67.1,,7.3,,23.4,,28.7,
2003,67.2,,6.1,,22.4,,22.2,
2004,67,,6.8,,19.7,,23.6,
2005,68.2,,7.2,,21.8,,25.7,
2006,68.9,,7.3,,16.6,,24.3,
2007,68.8,,8.1,,20,,32.6,
2008,68.3,,5.8,,19.6,,24.6,
2009,68.4,,7.2,,27,,23.2,
2010,68.1,,8.4,,24.7,,25.4,
2011/c,69.6,,8,,25.7,,30.6,
Note: See appendix table 4 for standard errors.,,,,,,,,
"a/Nonfatal violence includes rape, sexual assault, robbery,  aggravated and simple assault. A small percentage of rape and sexual assaults involved firearms but are not shown in table due to small sample sizes. ",,,,,,,,
"b/The homicide estimates that occurred as a result of the events of September 11, 2001, are included in the total number of homicides.",,,,,,,,
"c/Preliminary homicide estimates retrieved from Hoyert DL, Xu JQ. (2012) Deaths: Preliminary data for 2011. National Vital Statistics Reports, 61(6). ",,,,,,,,
"Sources: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011; and Centers for Disease Control and Prevention, National Center for Injury Prevention and Control, Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars. ",,,,,,,,
