Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: fv9311t03.csv,,,,,,,,,,,,,,,,,,,
"Table 3. Criminal firearm violence, by type of firearm, 1994–2011",,,,,,,,,,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 1993-2011; and FBI, Supplementary Homicide Reports, 1994–2011",,,,,,,,,,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 3. Criminal firearm violence, by type of firearm, 1994–2011",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Homicide,,,,,,,Nonfatal violence,,,,,,,,,,,
,Handgun,,,Other firearm*,,,,Handgun,,,,Other firearm*,,,,Gun type unknown,,,
Year,Annual number,Percent,,Annual number,Percent,,,Average annual number,Percent,,,Average annual number,Percent,,,Average annual number,,Percent,
1994,"13,510",82.7,%,"2,830",17.3,%,,"1,387,100",89.5,%,,"150,200",9.7,%,,"11,700", !,0.8,% !
1995,"12,090",81.9,,"2,670",18.1,,,"1,240,200",89.8,,,"132,800",9.6,,,"7,700", !,0.6, !
1996,"10,800",81.1,,"2,510",18.9,,,"999,600",87.1,,,"141,000",12.3,,,"6,400", !,0.6, !
1997,"9,750",78.8,,"2,630",21.2,,,"894,200",84.2,,,"159,800",15,,,"8,400", !,0.8, !
1998,"8,870",80.4,,"2,160",19.6,,,"783,400",84.3,,,"141,100",15.2,,,"5,300", !,0.6, !
1999,"8,010",78.8,,"2,150",21.2,,,"659,600",89.4,,,"74,100",10,,,"4,500", !,0.6, !
2000,"8,020",78.6,,"2,190",21.4,,,"555,800",88.8,,,"65,300",10.4,,,"4,500", !,0.7, !
2001,"7,820",77.9,,"2,220",22.1,,,"506,600",86.3,,,"65,900",11.2,,,"14,100", !,2.4, !
2002,"8,230",75.8,,"2,620",24.2,,,"471,600",85.5,,,"63,200",11.5,,,"16,700", !,3, !
2003,"8,890",80.3,,"2,180",19.7,,,"436,100",86.6,,,"53,200",10.6,,,"14,400", !,2.9, !
2004,"8,330",78,,"2,350",22,,,"391,700",84.8,,,"53,400",11.6,,,"16,900", !,3.7, !
2005,"8,550",75.1,,"2,840",24.9,,,"410,600",85.5,,,"56,200",11.7,,,"13,200", !,2.8, !
2006,"9,060",77,,"2,700",23,,,"497,400",89,,,"47,600",8.5,,,"14,000", !,2.5, !
2007,"8,570",73.6,,"3,080",26.4,,,"509,700",87.2,,,"65,600",11.2,,,"9,300", !,1.6, !
2008,"7,930",71.8,,"3,120",28.2,,,"400,700",86.5,,,"57,400",12.4,,,"5,000", !,1.1, !
2009,"7,370",71.3,,"2,970",28.7,,,"348,700",89.2,,,"37,600",9.6,,,"4,400", !,1.1, !
2010,"6,920",69.6,,"3,030",30.4,,,"382,100",92.6,,,"26,700",6.5,,,"3,800", !,0.9, !
2011,"7,230",72.9,,"2,690",27.1,,,"389,400",88.3,,,"49,700",11.3,,,"2,100", !,0.5, !
Note: Nonfatal violence data based on 2-year rolling averages beginning in 1993. Homicide data are presented as annual estimates. See appendix table 5 for standard errors.,,,,,,,,,,,,,,,,,,,
"*Includes rifle, shotgun, and other types of firearms.",,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011; and FBI, Supplementary Homicide Reports, 1994–2011.",,,,,,,,,,,,,,,,,,,
