Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: fv9311t04.csv,,,,,,,,,,,,,
"Table 4. Fatal and nonfatal firearm violence, by age, 1993–2011",,,,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 1993-2011; and Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. ",,,,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 4. Fatal and nonfatal firearm violence, by age, 1993–2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Firearm homicide rate per 100,000 persons",,,,,,,"Nonfatal firearm violence rate per 1,000 persons age 12 or older",,,,,
Year,11 or younger,12–17,18–24,25–34,35–49,50 or older,,12–17,18–24,25–34,35–49,50 or older,
1993,0.5,8,21.9,12.4,6.7,2.2,,~,,~,~,~,~
1994,0.4,7.8,21.2,12,6.3,2.1,,11.4,,18.1,8.7,6.3,1.6
1995,0.4,7,18.6,10.6,5.3,2,,9.8,,16.1,7.7,5.5,1.6
1996,0.4,5.6,17.2,9.4,4.9,1.8,,7.6,,12.3,6.8,4.8,1.4
1997,0.4,4.8,16.3,9,4.6,1.6,,7.1,,12.8,5.4,4.5,1.2
1998,0.3,3.7,14.4,7.9,4.2,1.5,,5.7,,12.4,4.5,3.8,1
1999,0.3,3.6,12.4,7.6,3.7,1.4,,4.7,,8.9,4.6,2.6,0.7
2000,0.2,2.9,12.4,7.7,3.8,1.4,,3.2,,7,3.6,2.5,1
2001,0.3,2.8,12.9,8.4,3.9,1.3,,2.2,,6.8,3.1,2.4,1
2002,0.3,2.9,13,8.8,4,1.4,,2.4,,7.3,3.1,1.8,0.8
2003,0.3,2.7,13.3,9,4,1.3,,2.8,,6.3,2.7,1.6,0.7
2004,0.2,3,11.9,8.9,3.9,1.4,,1.9,,3.9,2.5,2.1,0.8
2005,0.2,3.1,12.9,9.6,4.1,1.3,,1.2,,4.4,3.1,1.8,1
2006,0.3,3.6,13.6,9.6,4.1,1.4,,2.3,,5.6,3.4,1.8,1
2007,0.3,3.5,13.1,9.5,4.2,1.3,,4.3,,4.6,3,2.2,0.9
2008,0.3,3.3,12.1,9,4.1,1.3,,3.5,,3.2,2.7,1.6,0.7
2009,0.3,2.9,11.1,8.1,3.9,1.4,,0.9,,3.9,2.3,1.5,0.6
2010,0.3,2.8,10.7,8.1,3.6,1.4,,0.6, !,5.8,2,1.3,0.6
2011,...,...,...,...,...,...,,1.4,,5.2,2.2,1.4,0.7
Note: Nonfatal firearm violence data based on 2-year rolling averages beginning in 1993. Homicide data are annual estimates. See appendix table 11 for firearm homicide numbers and appendix table 12 for nonfatal firearm violence standard errors..,,,,,,,,,,,,,
~Not applicable. ,,,,,,,,,,,,,
...Not available. ,,,,,,,,,,,,,
"! Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,,,,,,,
"Source:  Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011; and Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. Web-based Injury Statistics Query and Reporting System (WISQARS), 1993–2010. Retrieved March 2013 from www.cdc.gov/ncipc/wisqars. ",,,,,,,,,,,,,
