Bureau of Justice Statistics,,,,,,
Filename: fv9311t05.csv,,,,,,
" Table 5. Nonfatal firearm violence, by population size, 1997–2011 ",,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,
"Data source: National Crime Victimization Survey, 1996-2011",,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 05/07/13,,,,,,
,,,,,,
" Table 5. Nonfatal firearm violence, by population size, 1997–2011 ",,,,,,
,,,,,,
,"Rate per 1,000 persons age 12 or older",,,,,
Year,Not a place*,"Less than 100,000","100,000–249,999","250,000–499,999","500,000–999,999",1 million or more
1997,3.9,3.8,7,10.3,7.3,7.3
1998,3,3.9,4.8,7,9.2,5.7
1999,1.9,3.1,3.1,5.5,9,6.4
2000,1.5,2.2,3.9,6.5,6.3,5.6
2001,1.4,2.1,4.1,6.1,5.5,5.1
2002,1.2,2.3,2.8,3.9,4.9,5.3
2003,1.4,2,2.8,3.3,5.1,3.6
2004,1.4,1.4,3,4.1,5.5,2.7
2005,1.2,1.6,2.9,3.6,4.5,4.6
2006,1.6,2.1,2.6,2.6,3.8,4.9
2007,1.5,2.6,2.7,2.4,5.4,2.1
2008,0.8,2.1,2.1,3.2,4.9,1.4
2009,0.9,1.1,2.2,3,4,3.5
2010,0.9,1.2,1.8,2.8,5.1,4
2011,1.4,1.2,1.3,3.9,4.6,3.2
Note: Data based on 2-year rolling averages beginning in 1996. Population size information was not available from 1993 to 1995. See appendix table 16 for rates and standard errors.,,,,,,
"*A concentration of population that is not either legally bounded as an incorporated place having an active government or delineated for statistical purposes as a census designated place with definite geographic boundaries, such as a city, town, or village.",,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1996–2011.",,,,,,
