Bureau of Justice Statistics,,,,,,,,,,
Filename: fv9311t06.csv,,,,,,,,,,
"Table 6. Nonfatal firearm and nonfirearm violence, by victim-offender relationship, 2007–2011",,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,
"Data source: National Crime Victimization Survey, 2007-2011",,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,
,,,,,,,,,,
"Table 6. Nonfatal firearm and nonfirearm violence, by victim-offender relationship, 2007–2011",,,,,,,,,,
,,,,,,,,,,
,,,,Firearm violence,,,,Nonfirearm violence,,
Relationship to victim,,Total nonfatal violence,,Number,Percent of total violence,,,Number,Percent of total violence,
,Total,"29,611,300",,"2,218,500",7.5,%,,"27,392,800",92.5,%
Nonstranger,,"15,715,900",,"738,000",4.7,,,"14,977,900",95.3,
,Intimate/a,"4,673,600",,"195,700",4.2,,,"4,477,900",95.8,
,Other relative,"2,157,700",,"158,100",7.3,,,"1,999,500",92.7,
,Friend/acquaintance,"8,884,600",,"384,100",4.3,,,"8,500,500",95.7,
Stranger,,"10,983,100",,"1,177,900",10.7,,,"9,805,200",89.3,
Unknown/b,,"2,912,300",,"302,600",10.4,,,"2,609,600",89.6,
Note: Detail may not sum to total due to rounding. See appendix table 17 for standard errors.,,,,,,,,,,
"a/Includes current or former spouses, boyfriends, or girlfriends.",,,,,,,,,,
b/Includes relationships unknown and number of offenders unknown. ,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2007–2011.",,,,,,,,,,
