Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: fv9311t07.csv,,,,,,,,,,,,,
"Table 7. Nonfatal firearm and nonfirearm violence, by location of crime, 2007–2011",,,,,,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2007-2011",,,,,,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7. Nonfatal firearm and nonfirearm violence, by location of crime, 2007–2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Total nonfatal violence,,,,Firearm violence,,,,,Nonfirearm violence,,
Location,,Number,Percent,,,Number,,Percent,,,Number,Percent,
,Total,"29,618,300",100,%,,"2,218,500",,100,%,,"27,399,800",100,%
Victims home or lodging,,"6,491,400",21.9,,,"427,600",,19.3,,,"6,063,800",22.1,
Near victim’s home,,"4,804,700",16.2,,,"504,500",,22.7,,,"4,300,200",15.7,
"In, at, or near a friend, neighbor, or relative’s home",,"2,175,900",7.3,,,"132,600",,6,,,"2,043,300",7.5,
Commercial place,,"2,878,600",9.7,,,"195,400",,8.8,,,"2,683,200",9.8,
Parking lot or garage,,"1,688,400",5.7,,,"340,600",,15.4,,,"1,347,900",4.9,
School*,,"3,931,100",13.3,,,"12,600", !,0.6, !,,"3,918,500",14.3,
"Open area, on street, or public transportation",,"4,636,900",15.7,,,"508,400",,22.9,,,"4,128,500",15.1,
Other location,,"3,011,200",10.2,,,"96,800",,4.4,,,"2,914,400",10.6,
"! Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. See appendix table 18 for standard errors.",,,,,,,,,,,,,
*Includes inside a school building or on school property.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2007–2011.",,,,,,,,,,,,,
