Bureau of Justice Statistics,,,,,
Filename: fv9311t08.csv,,,,,
"Table 8. School-associated homicides of youth ages 5 to 18, by location and school years, 1992–93 to 2009–10",,,,,
"Report title: Firearm Violence, 1993-2011",,,,,
"Data source: Table 1.1 from Robers, S., Zhang, J., and Truman, J. (2012). Indicators of School Crime and Safety: 2011 (NCES 2012-002/NCJ 236021). National Center for Education Statistics, U.S. Department of Education, and Bureau of Justice Statistics, Office of Justice Programs, U.S. Department of Justice. Homicide data are from: Centers for Disease Control and Prevention (CDC), 1992–2010 School-Associated Violent Deaths Surveillance Study (SAVD); FBI and Supplementary Homicide Reports (SHR), 1992–2009. ",,,,,
Authors: Michael Planty and Jennifer Truman,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 05/07/13,,,,,
,,,,,
"Table 8. School-associated homicides of youth ages 5 to 18, by location and school years, 1992–93 to 2009–10",,,,,
,,,,,
,Homicides of youth ages 5 to 18,,,,
School year,Total homicides/a,"Homicides at school/b,c",,Percent of all homicides of youth at school,
1992–93,"2,719",34,,1.3,%
1993–94,"2,911",29,,1,
1994–95,"2,691",28,,1,
1995–96,"2,548",32,,1.3,
1996–97,"2,210",28,,1.3,
1997–98,"2,104",34,,1.6,
1998–99,"1,791",33,,1.8,
1999–00,"1,566",14,,0.9,
2000–01,"1,501",14,,0.9,
2001–02,"1,494",16,,1.1,
2002–03,"1,538",18,,1.2,
2003–04,"1,459",23,,1.6,
2004–05,"1,545",22,,1.4,
2005–06,"1,687",21,,1.2,
2006–07,"1,796",32,,1.8,
2007–08,"1,740",21,,1.2,
2008–09,"1,579",17,,1.1,
2009–10,…,17,,…,
"Note: At school includes on school property, on the way to or from regular sessions at school, and while attending or traveling to or from a school-sponsored  event.",,,,,
...Not available.,,,,,
"a/Youth ages 5 to 18 from July 1, 1992, through June 30, 2009.",,,,,
"b/Youth ages 5 to 18 from July 1, 1992, through June 30, 2010.",,,,,
c/The data from school year 1999–00 through 2009–10  are subject to change until interviews with school and law enforcement officials have been completed. The details learned during the interviews can occasionally change the classification of a case. ,,,,,
"Sources: Table 1.1 from Robers, S., Zhang, J., and Truman, J. (2012). Indicators of School Crime and Safety: 2011 (NCES 2012-002/NCJ 236021). National Center for Education Statistics, U.S. Department of Education, and Bureau of Justice Statistics, Office of Justice Programs, U.S. Department of Justice. Homicide data are from: Centers for Disease Control and Prevention (CDC), 1992–2010 School-Associated Violent Deaths Surveillance Study (SAVD); FBI and Supplementary Homicide Reports (SHR), 1992–2009. ",,,,,
