Bureau of Justice Statistics,,,,,,,,,
Filename: fv9311t11.csv,,,,,,,,,
"Table 11. Self-protective behaviors, by type of crime, 2007–2011",,,,,,,,,
"Report title: Firearm Violence, 1993-2011",,,,,,,,,
"Data source: National Crime Victimization Survey, 2007-2011",,,,,,,,,
Authors: Michael Planty and Jennifer Truman,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 05/07/13,,,,,,,,,
,,,,,,,,,
"Table 11. Self-protective behaviors, by type of crime, 2007–2011",,,,,,,,,
,,,,,,,,,
,,Violent crime,,,,Property crime,,,
Self-protective behavior,,Number,Percent,,,Number,,Percent,
,Total,"29,618,300",100,%,,"84,495,500",,100,%
Offered no resistance,,"12,987,300",43.8,,,"10,162,000",,12,
Threatened or attacked with a firearm,,"235,700",0.8,,,"103,000",,0.1,
Threatened or attacked with other weapon,,"391,100",1.3,,,"38,200",,--,
Threatened or attacked without a weapon,,"6,552,900",22.1,,,"421,300",,0.5,
Nonconfrontational tactics/a,,"7,768,700",26.2,,,"1,187,100",,1.4,
Other ,,"1,641,300",5.5,,,"223,400",,0.3,
Unknown,,"41,300",0.1,,,"12,200", !,--,
Victim was not present/b,,~,~,,,"72,348,200",,85.6,
Note: See appendix table 22 for standard errors.,,,,,,,,,
"! Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,,,,,
~Not applicable.,,,,,,,,,
--Less than 0.05%. ,,,,,,,,,
"a/Includes yelling, running, or arguing. ",,,,,,,,,
b/Includes property crime where the victim was not present.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2007–2011.",,,,,,,,,
