Bureau of Justice Statistics,,,,,
Filename: fv9311t14.csv,,,,,
"Table 14. Source of firearms possessed by state prison inmates at time of offense, 1997 and 2004",,,,,
"Report title: Firearm Violence, 1993-2011",,,,,
"Data source: Survey of Inmates in State and Federal Correctional Facilities, 1997 and 2004",,,,,
Authors: Michael Planty and Jennifer Truman,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 05/07/13,,,,,
,,,,,
"Table 14. Source of firearms possessed by state prison inmates at time of offense, 1997 and 2004",,,,,
,,,,,
,,Percent of state prison inmates,,,
Source of firearm,,1997,,2004,
,Total,100,%,100,%
Purchased or traded from—,,14,%,11.3,%
,  Retail store,8.2,,7.3,
,  Pawnshop,4,,2.6,
,  Flea market,1,,0.6,
,  Gun show,0.8,,0.8,
Family or friend,,40.1,%,37.4,%
,  Purchased or traded,12.6,,12.2,
,  Rented or borrowed,18.9,,14.1,
,  Other,8.5,,11.1,
Street/illegal source,,37.3,%,40,%
,  Theft or burglary,9.1,,7.5,
,  Drug dealer/off street,20.3,,25.2,
,  Fence/black market,8,,7.4,
Other,,8.7,%,11.2,%
"Note: Includes only inmates with a current conviction. Estimates may differ from previously published BJS reports. To account for differences in the 1997 and 2004 inmate survey questionnaires, the analytical methodology used in 1997 was revised to ensure comparability with the 2004 survey.  ",,,,,
"Source: Bureau of Justice Statistics, Survey of Inmates in State and Federal Correctional Facilities, 1997 and 2004.",,,,,
