Year,White,Black,American_Indian,Asian,Rate_White,Rate_Black,Rate_American_Indian, Rate_Asian
1993,7918,9824,106,405,,3.7,30.1,4.6,4.6
1994,7774,9302,123,328,,3.6,28,5.2,3.6
1995,7144,7935,130,342,,3.2,23.4,5.3,3.6
1996,6240,7403,90,304,,2.8,21.5,3.6,3
1997,6025,6841,96,290,,2.7,19.5,3.7,2.8
1998,5412,6053,99,234,,2.4,17,3.6,2.2
1999,4918,5577,104,229,,2.2,15.4,3.7,2
2000,4806,5699,86,210,,2.1,15.6,2.9,1.8
2001,5188,5885,87,188,,2.2,15.8,2.8,1.5
2002,5185,6285,117,242,,2.2,16.7,3.7,1.9
2003,5173,6397,109,241,,2.2,16.7,3.3,1.8
2004,5119,6201,104,200,,2.2,16,3,1.4
2005,5266,6703,117,266,,2.2,17.1,3.3,1.8
2006,5279,7113,119,280,,2.2,17.9,3.2,1.9
2007,5380,6960,91,201,,2.2,17.2,2.4,1.3
2008,5305,6569,97,208,,2.2,16,2.4,1.3
2009,4950,6216,112,215,,2,14.9,2.7,1.3
2010,4647,6151,113,167,,1.9,14.6,2.7,1
