Season,Episode,Character,Line
10,1,Stan,"You guys, you guys! Chef is going away. 
"
10,1,Kyle,"Going away? For how long?
"
10,1,Sta,"Forever.
"
10,1,Chef,"I'm sorry boys.
"
10,1,Stan,"Chef said he's been bored, so he joining a group called the Super Adventure Club. 
"
10,1,Chef,"Wow!
"
10,1,Mrs. Garrison,"Chef?? What kind of questions do you think adventuring around the world is gonna answer?!
"
10,1,Chef,"What's the meaning of life? Why are we here?
"
10,1,Mrs. Garrison,"I hope you're making the right choice.
"
10,1,Cartman,"I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him! 
"
10,1,Stan,"Dude, how are we gonna go on? Chef was our fuh...f-ffriend. 
"
10,1,Mayor McDaniels,"And we will all miss you, Chef,  but we know you must do what your heart tells you..
"
10,1,Jimbo,"Bye-bye!
"
10,1,Gerald,"Good-bye!
"
10,1,Mr. Mackey,"So long!
"
10,1,A Man,"So long, Chef!
"
10,1,A Sign-Holder,"Good-bye, Chef!
"
10,1,Randy,"Good-bye, Chef! Have a great time with the Super Adventure Club!
"
10,1,Chef,"Good-bye! ..
"
10,1,Kyle,"Draw two card, fatass.
"
10,1,Cartman,"Reverse to you, Jew. 
"
10,1,Stan,"I'll get it. 
"
10,1,Chef,"Hello there, children!
"
10,1,Stan,"He's back!
"
10,1,Kyle,"Yeah!
"
10,1,Cartman,"All right! 
"
10,1,Kyle,"Chef! I can't believe you're back!
"
10,1,Chef,"Well, it's true.
"
10,1,Stan,"But are you back for good?
"
10,1,Chef,"That's right.
"
10,1,Mrs. Garrison,"Hey everybody! Chef's back!
"
10,1,Patrons,"What? All right! Yeah! 
"
10,1,Randy,"Oh, finally! 
"
10,1,Gerald,"Wow! It seems like you had a great time with the Super Adventure Club, Chef. They sound like really interesting people.
"
10,1,Chef,"Yeah!
"
10,1,Mrs. Garrison,"But now that you're back here, does that mean that you're not in the Super Adventure Club anymore?
"
10,1,Chef,"Nnono!
"
10,1,Randy,"Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?
"
10,1,Chef,"That's right.
"
10,1,Randy,"Well, it seems like the Super Adventure Club was just what you needed, Chef. You must be feeling very happy that you found a club to belong to with new friends, but that you can also live here in South Park with all your old friends whom you care for deeply.  Right?
"
10,1,Chef,"That's right. Randy! 
"
10,1,Jimbo,"Well Chef, you're welcome to stay with me until you buy another house.
"
10,1,Chef,"Thank you. Jimbo.
"
10,1,Randy,"Well, come on everybody. I'm sure Chef would like a little time to get moved back in.
"
10,1,Chef,"That's right! Thank you. Good-bye- Everybody.
"
10,1,Townsfolk,"Later. Great to have you back. Bye-bye. See ya Chef. See you later. Bye-bye
"
10,1,Kyle,"Well, I- guess we'll see you in school tomorrow, Chef.
"
10,1,Chef,"You bet! Good-bye. Children! 
"
10,1,Stan,"Right. Uh, see ya.
"
10,1,Cartman,"Uh, guys? Did Chef seem a little, uh, trippy to you?
"
10,1,Stan,"Well, look. he said he's happier now. Maybe he just needs to rest up a little.
"
10,1,Kyle,"Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.
"
10,1,Stan,"Yeah, but whatever, I'm just glad he's back for good.
"
10,1,Kenny,"(Yeah, me too.)
"
10,1,A Boy,"It's really weird what he said. I don't know, it kind of confused me.
"
10,1,Cartman,"Oh boy oh boy, I can't wait to have Chef's lunch food again.
"
10,1,Kyle,"Yeah. I hope he makes his Salisbury steak with buttered noodles! 
"
10,1,Clyde,"You guys, you guys.
"
10,1,Stan,"What?
"
10,1,Clyde,"Something's wrong with Chef. He's saying some really weird stuff.
"
10,1,Kyle,"Like what?
"
10,1,Clyde,"I think...  I think he wants to have sex with me.
"
10,1,Stan,"What??
"
10,1,Clyde,"I gotta- I gotta go. 
"
10,1,Kyle,"Weirdo. 
"
10,1,Chef,"Hello there, children!
"
10,1,The Boys,"Hey Chef.
"
10,1,Chef,"How's it goin'?
"
10,1,Kyle,"Good.
"
10,1,Chef,"Well, how about I meet you boys after work and we make love?
"
10,1,Cartman,"Excuse me?
"
10,1,Chef,"Come on, children! You're my sexual fantasy. Let's all make sweet love.
"
10,1,Kyle,"...Chef?? A-are you okay?
"
10,1,Chef,"I want to stick my balls inside your rectum, Kyle.
"
10,1,Stan,"Dude, what are you saying??
"
10,1,Chef,"I'm gonna make love to your asshole, children.
"
10,1,Stan,"...WHAT??
"
10,1,Det. Jarvis,"Hi kids, I'm Detective Jarvis. I need to ask you all some difficult questions about your school cafeteria chef.
"
10,1,Kyle,"This doesn't make any sense!
"
10,1,Det. Jarvis,"We have some information that all this time Chef has been and still is a pedophile.
"
10,1,Stan,"No, he's not.
"
10,1,Det. Jarvis,"Uh huh.
"
10,1,Stan,"No, he's not.
"
10,1,Det. Jarvis,"Yeah, yeah he is so.
"
10,1,Butters,"What's a pedophile?
"
10,1,Det. Jarvis,"Now, we need some testimony in order to arrest Chef,  so I'm gonna use this doll to ask you kids a few questions. Did Chef ever touch any of you... here? 
"
10,1,Stan,"NO!
"
10,1,Det. Jarvis,"Okay, did he touch you here? 
"
10,1,The Class,"NO!
"
10,1,Det. Jarvis,"Did he ever do this? How about this? 
"
10,1,Butters,"My Uncle Bud did that to me once! 
"
10,1,Det. Jarvis,"Did Chef ever try one of these on for size? 
"
10,1,Kyle,"Goddammit, Chef isn't like that! Something funny is going on around here!
"
10,1,Det. Jarvis,"Young man, will you PLEASE pay attention! This is very important stuff! Ohhh. Ohhhhhh.
"
10,1,Chef,"Hello there, children!
"
10,1,Kyle,"Chef, the police are asking questions about you!
"
10,1,Chef,"Oh really? Well, let's all go home and make love.
"
10,1,Stan,"No, Chef, we don't wanna make love to you!
"
10,1,Chef,"Kenny, how would you like to sodomize my black ass
"
10,1,Kyle,"Chef, CHEF! You need to get out of here before you get arrested, all right?!
"
10,1,Chef,"I specializes in your asshole, Kyle. 
"
10,1,Cartman,"...Man, I can't believe all this time, Chef just wanted us for sex.
"
10,1,Kyle,"He didn't want us for sex, fatass! Something is making him say those things.
"
10,1,Kenny,"(Like what?)
"
10,1,Kyle,"Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex.
"
10,1,Stan,"Well look: he spent the last three months with that adventurers' club. Maybe they know what happened to him.
"
10,1,Kenny,"(Yeah! I think...)
"
10,1,Cartman,"Yeah!
"
10,1,Kyle,"All right, come on guys!
"
10,1,Cartman,"Hey you guys, you know what they call a Jewish woman's boobs? Jewbs. 
"
10,1,Butler,"May I help you.
"
10,1,Kyle,"Ahh, hi, can we speak to the head guy or something?
"
10,1,Butler,"Right this way. 
"
10,1,Head Adventurer,"Now, the upper rim of Kilimanjaro should be quite a trek, and so we'll need to have a-
"
10,1,Butler,"Excuse me, sir. These boys wanted to speak with you.
"
10,1,Head Adventurer,"Ahh yes, splendid! Good afternoon, lads! I'm Head Adventurer William P. Connolly, Esquire! Welcome, to the Super Adventure Club!
"
10,1,Club Members,"Tally ho!
"
10,1,Mr. Connolly,"Indeed!
"
10,1,Kyle,"Uh, hi. Our friend joined your club a while back, and now he wants to molest kids. 
"
10,1,Mr. Connolly,"What? Well... well yes, of course! That's what the Super Adventure Club does!
"
10,1,Cartman,"...Huh?
"
10,1,Marksman,"We travel the world and have sex with children!
"
10,1,Marine,"Yes, what else would we do?
"
10,1,Kyle,"Well, we thought you went exploring and like, hunting and stuff!
"
10,1,Mr. Connolly,"Noo, no, that's the Adventure Club. We're the Super Adventure Club!  Next week, we'll be heading to the outer banks of the Amazon, where we will make camp and have sex with children of the Ugani tribe, then it's off to the mighty Himalayas, where we will climb K-2, and molest several Tibetan children on the east summit.
"
10,1,Kyle,"...Dude!
"
10,1,Mr. Connolly,"I know, but it gets even better! From there we will kayak to the fruitful banks of the Mele River in Africa, where the secret and mysterious Hanimi people have children who have never seen a white man's erect penis. Of course, we're always looking for kids to have sex with on the plane rides over to these places, so how would you ALL like to join the Super Adventure Club!
"
10,1,Stan,"NO!!
"
10,1,Mr. Connolly,"No? Oh really? Perhaps I should ask you again?  How would you like to join the Super Adventure Club? 
"
10,1,Stan,"No! 
"
10,1,Kyle,"Dude, what are you doing?!
"
10,1,Mr. Connolly,"Oh well, it doesn't work on everybody.  Well, so long then.
"
10,1,Kyle,"Just what the hell is that thing?!
"
10,1,Mr. Connolly,"What? What thing? I don't see anything.
"
10,1,Kyle,"HA! I knew it!
"
10,1,Stan,"Knew what?
"
10,1,Kyle,"The reason Chef has been saying those terrible things about us is because he's been brainwashed! By this- fruity little club!
"
