,﻿Season,Episode,Character,Line
0,10,1,Stan,"You guys, you guys! Chef is going away. 
"
1,10,1,Kyle,"Going away? For how long?
"
2,10,1,Sta,"Forever.
"
3,10,1,Chef,"I'm sorry boys.
"
4,10,1,Stan,"Chef said he's been bored, so he joining a group called the Super Adventure Club. 
"
5,10,1,Chef,"Wow!
"
6,10,1,Mrs. Garrison,"Chef?? What kind of questions do you think adventuring around the world is gonna answer?!
"
7,10,1,Chef,"What's the meaning of life? Why are we here?
"
8,10,1,Mrs. Garrison,"I hope you're making the right choice.
"
9,10,1,Cartman,"I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him! 
"
10,10,1,Stan,"Dude, how are we gonna go on? Chef was our fuh...f-ffriend. 
"
11,10,1,Mayor McDaniels,"And we will all miss you, Chef,  but we know you must do what your heart tells you..
"
12,10,1,Jimbo,"Bye-bye!
"
13,10,1,Gerald,"Good-bye!
"
14,10,1,Mr. Mackey,"So long!
"
15,10,1,A Man,"So long, Chef!
"
16,10,1,A Sign-Holder,"Good-bye, Chef!
"
17,10,1,Randy,"Good-bye, Chef! Have a great time with the Super Adventure Club!
"
18,10,1,Chef,"Good-bye! ..
"
19,10,1,Kyle,"Draw two card, fatass.
"
20,10,1,Cartman,"Reverse to you, Jew. 
"
21,10,1,Stan,"I'll get it. 
"
22,10,1,Chef,"Hello there, children!
"
23,10,1,Stan,"He's back!
"
24,10,1,Kyle,"Yeah!
"
25,10,1,Cartman,"All right! 
"
26,10,1,Kyle,"Chef! I can't believe you're back!
"
27,10,1,Chef,"Well, it's true.
"
28,10,1,Stan,"But are you back for good?
"
29,10,1,Chef,"That's right.
"
30,10,1,Mrs. Garrison,"Hey everybody! Chef's back!
"
31,10,1,Patrons,"What? All right! Yeah! 
"
32,10,1,Randy,"Oh, finally! 
"
33,10,1,Gerald,"Wow! It seems like you had a great time with the Super Adventure Club, Chef. They sound like really interesting people.
"
34,10,1,Chef,"Yeah!
"
35,10,1,Mrs. Garrison,"But now that you're back here, does that mean that you're not in the Super Adventure Club anymore?
"
36,10,1,Chef,"Nnono!
"
37,10,1,Randy,"Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?
"
38,10,1,Chef,"That's right.
"
39,10,1,Randy,"Well, it seems like the Super Adventure Club was just what you needed, Chef. You must be feeling very happy that you found a club to belong to with new friends, but that you can also live here in South Park with all your old friends whom you care for deeply.  Right?
"
40,10,1,Chef,"That's right. Randy! 
"
41,10,1,Jimbo,"Well Chef, you're welcome to stay with me until you buy another house.
"
42,10,1,Chef,"Thank you. Jimbo.
"
43,10,1,Randy,"Well, come on everybody. I'm sure Chef would like a little time to get moved back in.
"
44,10,1,Chef,"That's right! Thank you. Good-bye- Everybody.
"
45,10,1,Townsfolk,"Later. Great to have you back. Bye-bye. See ya Chef. See you later. Bye-bye
"
46,10,1,Kyle,"Well, I- guess we'll see you in school tomorrow, Chef.
"
47,10,1,Chef,"You bet! Good-bye. Children! 
"
48,10,1,Stan,"Right. Uh, see ya.
"
49,10,1,Cartman,"Uh, guys? Did Chef seem a little, uh, trippy to you?
"
50,10,1,Stan,"Well, look. he said he's happier now. Maybe he just needs to rest up a little.
"
51,10,1,Kyle,"Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.
"
52,10,1,Stan,"Yeah, but whatever, I'm just glad he's back for good.
"
53,10,1,Kenny,"(Yeah, me too.)
"
54,10,1,A Boy,"It's really weird what he said. I don't know, it kind of confused me.
"
55,10,1,Cartman,"Oh boy oh boy, I can't wait to have Chef's lunch food again.
"
56,10,1,Kyle,"Yeah. I hope he makes his Salisbury steak with buttered noodles! 
"
57,10,1,Clyde,"You guys, you guys.
"
58,10,1,Stan,"What?
"
59,10,1,Clyde,"Something's wrong with Chef. He's saying some really weird stuff.
"
60,10,1,Kyle,"Like what?
"
61,10,1,Clyde,"I think...  I think he wants to have sex with me.
"
62,10,1,Stan,"What??
"
63,10,1,Clyde,"I gotta- I gotta go. 
"
64,10,1,Kyle,"Weirdo. 
"
65,10,1,Chef,"Hello there, children!
"
66,10,1,The Boys,"Hey Chef.
"
67,10,1,Chef,"How's it goin'?
"
68,10,1,Kyle,"Good.
"
69,10,1,Chef,"Well, how about I meet you boys after work and we make love?
"
70,10,1,Cartman,"Excuse me?
"
71,10,1,Chef,"Come on, children! You're my sexual fantasy. Let's all make sweet love.
"
72,10,1,Kyle,"...Chef?? A-are you okay?
"
73,10,1,Chef,"I want to stick my balls inside your rectum, Kyle.
"
74,10,1,Stan,"Dude, what are you saying??
"
75,10,1,Chef,"I'm gonna make love to your asshole, children.
"
76,10,1,Stan,"...WHAT??
"
77,10,1,Det. Jarvis,"Hi kids, I'm Detective Jarvis. I need to ask you all some difficult questions about your school cafeteria chef.
"
78,10,1,Kyle,"This doesn't make any sense!
"
79,10,1,Det. Jarvis,"We have some information that all this time Chef has been and still is a pedophile.
"
80,10,1,Stan,"No, he's not.
"
81,10,1,Det. Jarvis,"Uh huh.
"
82,10,1,Stan,"No, he's not.
"
83,10,1,Det. Jarvis,"Yeah, yeah he is so.
"
84,10,1,Butters,"What's a pedophile?
"
85,10,1,Det. Jarvis,"Now, we need some testimony in order to arrest Chef,  so I'm gonna use this doll to ask you kids a few questions. Did Chef ever touch any of you... here? 
"
86,10,1,Stan,"NO!
"
87,10,1,Det. Jarvis,"Okay, did he touch you here? 
"
88,10,1,The Class,"NO!
"
89,10,1,Det. Jarvis,"Did he ever do this? How about this? 
"
90,10,1,Butters,"My Uncle Bud did that to me once! 
"
91,10,1,Det. Jarvis,"Did Chef ever try one of these on for size? 
"
92,10,1,Kyle,"Goddammit, Chef isn't like that! Something funny is going on around here!
"
93,10,1,Det. Jarvis,"Young man, will you PLEASE pay attention! This is very important stuff! Ohhh. Ohhhhhh.
"
94,10,1,Chef,"Hello there, children!
"
95,10,1,Kyle,"Chef, the police are asking questions about you!
"
96,10,1,Chef,"Oh really? Well, let's all go home and make love.
"
97,10,1,Stan,"No, Chef, we don't wanna make love to you!
"
98,10,1,Chef,"Kenny, how would you like to sodomize my black ass
"
99,10,1,Kyle,"Chef, CHEF! You need to get out of here before you get arrested, all right?!
"
100,10,1,Chef,"I specializes in your asshole, Kyle. 
"
101,10,1,Cartman,"...Man, I can't believe all this time, Chef just wanted us for sex.
"
102,10,1,Kyle,"He didn't want us for sex, fatass! Something is making him say those things.
"
103,10,1,Kenny,"(Like what?)
"
104,10,1,Kyle,"Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex.
"
105,10,1,Stan,"Well look: he spent the last three months with that adventurers' club. Maybe they know what happened to him.
"
106,10,1,Kenny,"(Yeah! I think...)
"
107,10,1,Cartman,"Yeah!
"
108,10,1,Kyle,"All right, come on guys!
"
109,10,1,Cartman,"Hey you guys, you know what they call a Jewish woman's boobs? Jewbs. 
"
110,10,1,Butler,"May I help you.
"
111,10,1,Kyle,"Ahh, hi, can we speak to the head guy or something?
"
112,10,1,Butler,"Right this way. 
"
